"","ns","Value","Name","n_clus","clustering","level"
"2148","7_28",0.86654308946937,"tSNE_KMEANS_40-30",38,"tSNE_KMEANS_40",30
"2149","7_28",0.847342864676509,"tSNE_KMEANS_45-30",40,"tSNE_KMEANS_45",30
"2150","7_28",0.998061322591547,"sc3_35-35",35,"sc3_35",35
"2151","7_28",0.81374569817458,"UMAP_KMEANS_35-35",30,"UMAP_KMEANS_35",35
"2152","7_28",0.713318285994308,"UMAP_KMEANS_40-35",36,"UMAP_KMEANS_40",35
"2153","7_28",0.901757808563782,"UMAP_KMEANS_45-35",40,"UMAP_KMEANS_45",35
"2154","7_28",0.780849880826732,"tSNE_KMEANS_35-35",32,"tSNE_KMEANS_35",35
"2155","7_28",0.875567489928444,"tSNE_KMEANS_40-35",37,"tSNE_KMEANS_40",35
"2156","7_28",0.852722024000068,"tSNE_KMEANS_45-35",39,"tSNE_KMEANS_45",35
"2157","7_28",0.998061322591547,"sc3_35-40",35,"sc3_35",40
"2158","7_28",0.822938320844705,"UMAP_KMEANS_35-40",29,"UMAP_KMEANS_35",40
"2159","7_28",0.713318285994308,"UMAP_KMEANS_40-40",36,"UMAP_KMEANS_40",40
"2160","7_28",0.901757808563782,"UMAP_KMEANS_45-40",40,"UMAP_KMEANS_45",40
"2161","7_28",0.785267897413898,"tSNE_KMEANS_35-40",31,"tSNE_KMEANS_35",40
"2162","7_28",0.875567489928444,"tSNE_KMEANS_40-40",37,"tSNE_KMEANS_40",40
"2163","7_28",0.870821319399939,"tSNE_KMEANS_45-40",37,"tSNE_KMEANS_45",40
"2164","7_28",0.998061322591547,"sc3_35-45",35,"sc3_35",45
"2165","7_28",0.822938320844705,"UMAP_KMEANS_35-45",29,"UMAP_KMEANS_35",45
"2166","7_28",0.718764119964024,"UMAP_KMEANS_40-45",35,"UMAP_KMEANS_40",45
"2167","7_28",0.901757808563782,"UMAP_KMEANS_45-45",40,"UMAP_KMEANS_45",45
"2168","7_28",0.793566794216735,"tSNE_KMEANS_35-45",30,"tSNE_KMEANS_35",45
"2169","7_28",0.875567489928444,"tSNE_KMEANS_40-45",37,"tSNE_KMEANS_40",45
"2170","7_28",0.882338343662681,"tSNE_KMEANS_45-45",35,"tSNE_KMEANS_45",45
