"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"1",6,3,2,7,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell1"
"2",157,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell2"
"3",15,12,3,1,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell3"
"4",92,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell4"
"5",24,16,3,1,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell5"
"6",21,20,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell6"
"7",7,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell7"
"8",8,1,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell8"
"9",134,11,2,7,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell9"
"10",90,10,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell10"
"11",132,19,11,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell11"
"12",17,7,9,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell12"
"13",238,13,2,7,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell13"
"14",87,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell14"
"15",45,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell15"
"16",34,11,4,6,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell16"
"17",4,6,5,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell17"
"18",3,11,2,7,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell18"
"19",42,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell19"
"20",10,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell20"
"21",7,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell21"
"22",115,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell22"
"23",68,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell24"
"24",1,14,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell25"
"25",4,6,5,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell26"
"26",67,9,9,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell27"
"27",29,1,5,5,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell28"
"28",7,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell29"
"29",4,6,5,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell30"
"30",3,11,2,7,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell31"
"31",9,2,6,4,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell32"
"32",22,13,12,5,4,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell33"
"33",1,2,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell34"
"34",16,2,7,1,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell35"
"35",1,14,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell36"
"36",33,22,9,2,5,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell37"
"37",164,27,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell38"
"38",1,14,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell39"
"39",1,14,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell40"
"40",202,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell41"
"41",33,7,9,2,5,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell42"
"42",11,1,6,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell43"
"43",3,11,2,7,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell44"
"44",110,19,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell45"
"45",147,21,12,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell46"
"46",20,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell47"
"47",19,7,11,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell48"
"48",17,7,9,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell49"
"49",110,19,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell50"
"50",38,8,1,6,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell51"
"51",251,7,11,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell52"
"52",116,6,5,5,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell53"
"53",11,1,6,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell54"
"54",18,12,3,1,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell55"
"55",6,3,2,7,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell56"
"56",200,24,7,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell57"
"57",203,7,9,2,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell58"
"58",45,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell59"
"59",18,16,3,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell60"
"60",11,1,6,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell61"
"61",40,6,5,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell62"
"62",11,1,6,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell63"
"63",11,1,6,4,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell64"
"64",193,30,3,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell65"
"65",36,7,9,2,5,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell66"
"66",5,5,4,6,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell67"
"67",17,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell68"
"68",88,13,12,5,4,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell70"
"69",12,3,13,3,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell71"
"70",79,8,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell72"
"71",32,2,7,1,5,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell73"
"72",102,18,7,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell74"
"73",117,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell75"
"74",103,3,13,3,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell76"
"75",13,2,7,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell77"
"76",30,12,3,1,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell78"
"77",162,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell79"
"78",214,3,13,3,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell80"
"79",26,15,11,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell81"
"80",29,1,5,5,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell82"
"81",10,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell83"
"82",2,19,11,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell84"
"83",87,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell85"
"84",4,6,12,5,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell86"
"85",10,8,1,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell87"
"86",12,10,1,3,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell88"
"87",6,3,2,3,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell89"
"88",96,17,5,5,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell90"
"89",37,8,1,6,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell91"
"90",18,16,3,1,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell92"
"91",27,10,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell93"
"92",1,14,8,4,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell94"
"93",43,7,9,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell95"
"94",7,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell96"
"95",7,4,10,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell97"
