"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell11",20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,20,19,20,19,19,20,19,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,"Cell11"
"Cell12",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,"Cell12"
"Cell13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell13"
"Cell14",11,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,12,11,11,12,11,11,11,11,11,11,11,11,12,11,11,12,11,11,10,11,11,10,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,11,11,12,11,11,10,11,11,12,11,11,11,11,11,10,11,"Cell14"
"Cell15",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell15"
"Cell16",19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,19,20,19,20,20,19,20,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,"Cell16"
"Cell17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell17"
"Cell18",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell18"
"Cell19",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,"Cell19"
"Cell20",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Cell20"
"Cell21",18,18,16,18,16,16,18,18,16,18,16,16,18,18,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,18,17,16,18,17,16,18,17,16,18,18,16,18,18,16,18,18,16,18,18,16,18,17,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,"Cell21"
"Cell22",7,8,8,7,7,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,7,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,7,8,7,7,8,7,7,8,7,8,8,7,7,8,"Cell22"
"Cell24",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,27,26,"Cell24"
"Cell25",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Cell25"
"Cell26",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell26"
"Cell27",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell27"
"Cell28",10,12,10,10,11,10,10,12,10,10,11,10,10,12,10,10,11,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,11,10,10,11,10,10,12,10,10,12,10,10,12,10,10,12,10,10,11,10,10,11,10,10,11,10,10,11,10,10,12,10,10,11,10,"Cell28"
"Cell29",14,14,15,14,14,15,14,14,15,14,14,15,14,14,15,14,15,15,14,14,15,14,14,15,14,14,15,14,14,15,14,14,15,14,14,15,14,14,15,14,14,15,14,15,15,14,14,15,14,14,15,14,14,15,14,15,15,14,15,15,14,15,15,14,14,15,14,15,15,"Cell29"
"Cell30",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Cell30"
"Cell31",8,7,7,8,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,8,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,8,7,8,8,7,8,8,7,8,7,7,8,8,7,"Cell31"
"Cell32",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,"Cell32"
"Cell33",19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,19,20,19,20,20,19,20,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,"Cell33"
"Cell34",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"Cell34"
"Cell35",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Cell35"
"Cell36",7,8,8,7,7,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,7,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,7,8,7,7,8,7,7,8,7,8,8,7,7,8,"Cell36"
"Cell37",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell37"
"Cell38",8,7,7,8,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,8,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,8,7,8,8,7,8,8,7,8,7,7,8,8,7,"Cell38"
"Cell39",18,18,16,18,16,16,18,18,16,18,16,16,18,18,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,18,17,16,18,17,16,18,17,16,18,18,16,18,18,16,18,18,16,18,18,16,18,17,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,"Cell39"
"Cell40",11,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,12,11,11,12,11,11,11,11,11,11,11,11,12,11,11,12,11,11,10,11,11,10,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,11,11,12,11,11,10,11,11,12,11,11,11,11,11,10,11,"Cell40"
"Cell41",17,17,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,17,18,17,17,18,17,17,18,17,17,17,17,17,16,17,17,17,17,17,17,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,"Cell41"
"Cell42",19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,19,20,19,20,20,19,20,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,"Cell42"
"Cell43",8,7,7,8,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,8,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,8,7,8,8,7,8,8,7,8,7,7,8,8,7,"Cell43"
"Cell44",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,"Cell44"
"Cell45",15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,14,14,15,14,14,15,14,14,15,15,14,15,14,14,"Cell45"
"Cell46",10,12,10,10,11,10,10,12,10,10,11,10,10,12,10,10,11,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,11,10,10,11,10,10,12,10,10,12,10,10,12,10,10,12,10,10,11,10,10,11,10,10,11,10,10,11,10,10,12,10,10,11,10,"Cell46"
"Cell47",18,18,16,18,16,16,18,18,16,18,16,16,18,18,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,18,17,16,18,17,16,18,17,16,18,18,16,18,18,16,18,18,16,18,18,16,18,17,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,"Cell47"
"Cell48",20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,20,19,20,19,19,20,19,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,"Cell48"
"Cell49",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell49"
"Cell50",7,8,8,7,7,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,7,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,7,8,7,7,8,7,7,8,7,8,8,7,7,8,"Cell50"
"Cell51",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Cell51"
"Cell52",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,"Cell52"
"Cell53",8,7,7,8,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,8,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,8,7,8,8,7,8,8,7,8,7,7,8,8,7,"Cell53"
"Cell54",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,"Cell54"
"Cell55",19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,19,20,19,20,20,19,20,20,19,19,20,19,19,20,19,19,20,19,19,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,19,20,20,"Cell55"
"Cell56",10,12,10,10,11,10,10,12,10,10,11,10,10,12,10,10,11,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,11,10,10,11,10,10,12,10,10,12,10,10,12,10,10,12,10,10,11,10,10,11,10,10,11,10,10,11,10,10,12,10,10,11,10,"Cell56"
"Cell57",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell57"
"Cell58",15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,14,14,15,14,14,15,14,14,15,15,14,15,14,14,"Cell58"
"Cell59",8,7,7,8,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,7,7,8,7,7,8,8,7,8,8,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,7,7,8,8,7,8,8,7,8,8,7,8,7,7,8,8,7,"Cell59"
"Cell60",20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,20,19,20,19,19,20,19,19,20,20,19,20,20,19,20,20,19,20,20,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,20,19,19,"Cell60"
"Cell61",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Cell61"
"Cell62",18,18,16,18,16,16,18,18,16,18,16,16,18,18,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,18,17,16,18,17,16,18,17,16,18,18,16,18,18,16,18,18,16,18,18,16,18,17,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,"Cell62"
"Cell63",12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,11,12,12,10,12,12,10,12,12,11,12,12,11,12,12,12,12,12,12,12,12,10,12,12,11,12,12,10,12,12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,12,12,"Cell63"
"Cell64",15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,14,14,15,14,14,15,14,14,15,15,14,15,14,14,"Cell64"
"Cell65",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Cell65"
"Cell66",18,18,16,18,16,16,18,18,16,18,16,16,18,18,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,18,17,16,18,17,16,18,17,16,18,18,16,18,18,16,18,18,16,18,18,16,18,17,16,18,18,16,18,17,16,18,18,16,18,18,16,18,17,16,"Cell66"
"Cell67",12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,11,12,12,10,12,12,10,12,12,11,12,12,11,12,12,12,12,12,12,12,12,10,12,12,11,12,12,10,12,12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,12,12,"Cell67"
"Cell68",11,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,12,11,11,12,11,11,11,11,11,11,11,11,12,11,11,12,11,11,10,11,11,10,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,11,11,12,11,11,10,11,11,12,11,11,11,11,11,10,11,"Cell68"
"Cell70",15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,15,14,15,14,14,15,15,14,15,15,14,15,15,14,15,14,14,15,14,14,15,14,14,15,15,14,15,14,14,"Cell70"
"Cell71",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Cell71"
"Cell72",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Cell72"
"Cell73",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,26,27,"Cell73"
"Cell74",16,16,18,16,17,18,16,16,18,16,17,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,17,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,16,16,18,"Cell74"
"Cell75",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell75"
"Cell76",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Cell76"
"Cell77",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Cell77"
"Cell78",12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,11,12,12,10,12,12,10,12,12,11,12,12,11,12,12,12,12,12,12,12,12,10,12,12,11,12,12,10,12,12,10,12,12,12,12,12,10,12,12,12,12,12,10,12,12,10,12,12,12,12,"Cell78"
"Cell79",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,"Cell79"
"Cell80",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Cell80"
"Cell81",17,17,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,17,18,17,17,18,17,17,18,17,17,17,17,17,16,17,17,17,17,17,17,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,"Cell81"
"Cell82",10,12,10,10,11,10,10,12,10,10,11,10,10,12,10,10,11,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,11,10,10,11,10,10,12,10,10,12,10,10,12,10,10,12,10,10,11,10,10,11,10,10,11,10,10,11,10,10,12,10,10,11,10,"Cell82"
"Cell83",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Cell83"
"Cell84",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Cell84"
"Cell85",7,8,8,7,7,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,8,8,7,8,8,7,7,8,7,7,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,8,8,7,7,8,7,7,8,7,7,8,7,8,8,7,7,8,"Cell85"
"Cell86",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,"Cell86"
"Cell87",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell87"
"Cell88",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell88"
"Cell89",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Cell89"
