cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8
Cell10,19,9,22,19,9,22,19,9,22,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16
Cell100,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3
Cell1000,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,33,6,36,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3
Cell1001,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,29,18,34,27,18,34,27,18,34,27,18,34,27,18,34,27,18,22,27,18
Cell1002,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,36,29,31,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3
Cell1003,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,25,17,5,21,17,5,21,17,5,21,17,5,21,17,5,21,17,5,21,17,5,21
Cell1004,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11,2,4,11
Cell1005,5,24,37,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9
Cell1006,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,20,32,26,11,3,26,11,3,26,11,3,26
Cell1007,5,24,37,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9,5,24,9
Cell1008,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1
Cell1009,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16
Cell101,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,38,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17
Cell1010,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26,11,3,26
Cell1011,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,30,31,21,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16
Cell1012,26,13,33,26,13,33,26,13,33,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13,13
Cell1013,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20
Cell1014,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1
Cell1015,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26,1,28,26
Cell1016,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20,27,26,20
Cell1017,30,34,27,30,34,27,30,34,27,30,34,27,30,34,27,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1,28,34,1
Cell1018,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,15,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8,9,25,8
Cell1019,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,33,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17,16,20,17
Cell102,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3,24,6,3
Cell1020,19,9,22,19,9,22,19,9,22,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16,19,9,16
