"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell1",10,9,8,10,9,8,10,9,8,11,9,8,10,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,10,8,11,10,8,11,10,8,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,11,11,10,11,10,11,"Cell1"
"Cell2",16,16,14,16,16,14,16,16,14,16,16,14,16,16,14,17,16,14,17,16,14,17,16,14,17,16,15,17,16,15,17,16,15,17,16,16,17,16,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,17,"Cell2"
"Cell3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,"Cell3"
"Cell4",16,16,14,16,16,14,16,16,14,16,16,14,16,16,14,17,16,14,17,16,14,17,16,14,17,16,15,17,16,15,17,16,15,17,16,16,17,16,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,17,"Cell4"
"Cell5",23,23,20,23,23,20,23,23,20,23,23,20,23,23,20,24,23,21,24,23,21,24,23,22,24,23,22,24,23,22,24,23,22,24,23,22,24,23,22,24,24,22,24,24,22,24,24,22,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,24,"Cell5"
"Cell6",10,9,8,10,9,8,10,9,8,11,9,8,10,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,10,8,11,10,8,11,10,8,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,11,11,10,11,10,11,"Cell6"
"Cell7",16,16,14,16,16,14,16,16,14,16,16,14,16,16,14,17,16,14,17,16,14,17,16,14,17,16,15,17,16,15,17,16,15,17,16,16,17,16,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,16,17,17,17,"Cell7"
"Cell8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,"Cell8"
"Cell9",20,20,18,20,20,18,20,20,18,20,20,18,20,20,18,21,20,19,21,20,19,21,20,20,21,20,20,21,20,20,21,20,20,21,20,20,21,20,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,20,21,21,21,"Cell9"
"Cell10",21,21,1,21,21,1,21,21,21,21,21,21,21,21,21,22,21,22,22,21,22,22,21,23,22,21,23,22,21,23,22,21,23,22,21,23,22,21,23,22,22,23,22,22,23,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,23,"Cell10"
"Cell11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,3,1,2,3,3,"Cell11"
"Cell12",12,12,10,12,12,10,12,12,10,12,12,10,12,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,13,11,13,13,11,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,13,"Cell12"
"Cell13",9,8,7,9,8,7,9,8,7,9,8,7,9,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,7,10,9,8,"Cell13"
"Cell14",21,21,1,21,21,1,21,21,21,21,21,21,21,21,21,22,21,22,22,21,22,22,21,23,22,21,23,22,21,23,22,21,23,22,21,23,22,21,23,22,22,23,22,22,23,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,23,"Cell14"
"Cell15",13,13,11,13,13,11,13,13,11,13,13,11,13,13,11,14,13,11,14,13,11,14,13,11,14,13,11,14,13,11,14,13,12,14,13,12,14,13,12,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,13,14,14,14,"Cell15"
"Cell16",10,9,8,10,9,8,10,9,8,11,9,8,10,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,10,8,11,10,8,11,10,8,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,11,11,10,11,10,11,"Cell16"
"Cell17",7,6,1,7,6,1,7,6,1,7,6,1,7,6,1,8,6,18,8,6,18,8,6,18,8,6,13,8,6,13,8,6,11,8,6,11,8,6,11,8,7,9,8,7,9,8,7,9,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,8,8,7,10,"Cell17"
"Cell18",15,15,13,15,15,13,15,15,13,15,15,13,15,15,13,16,15,13,16,15,13,16,15,13,16,15,14,16,15,14,16,15,14,16,15,15,16,15,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,15,16,16,16,"Cell18"
"Cell19",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,6,6,6,"Cell19"
"Cell20",12,12,10,12,12,10,12,12,10,12,12,10,12,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,12,10,13,13,11,13,13,11,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,12,13,13,13,"Cell20"
"Cell21",6,7,6,6,7,6,6,7,6,6,7,6,6,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,7,"Cell21"
"Cell22",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,"Cell22"
"Cell23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,3,3,1,2,3,3,"Cell23"
"Cell24",23,23,20,23,23,20,23,23,20,23,23,20,23,23,20,24,23,21,24,23,21,24,23,22,24,23,22,24,23,22,24,23,22,24,23,22,24,23,22,24,24,22,24,24,22,24,24,22,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,24,"Cell24"
"Cell25",7,6,1,7,6,1,7,6,1,7,6,1,7,6,1,8,6,18,8,6,18,8,6,18,8,6,13,8,6,13,8,6,11,8,6,11,8,6,11,8,7,9,8,7,9,8,7,9,8,7,10,8,7,10,8,7,10,8,7,10,8,7,10,8,7,8,8,7,10,"Cell25"
"Cell26",26,26,23,26,26,23,26,26,24,26,26,24,26,26,24,27,26,25,27,26,25,27,26,26,27,26,26,27,26,26,27,26,26,27,26,26,27,26,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,26,27,27,27,"Cell26"
"Cell27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell27"
"Cell28",10,9,8,10,9,8,10,9,8,11,9,8,10,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,9,8,11,10,8,11,10,8,11,10,8,11,10,9,11,10,9,11,10,9,11,10,9,11,10,9,11,11,10,11,10,11,"Cell28"
"Cell29",18,18,16,18,18,16,18,18,16,19,18,16,18,18,16,19,18,16,19,18,16,19,18,16,19,18,17,19,18,17,19,18,18,19,18,18,19,18,18,19,19,18,19,19,18,19,19,18,19,19,18,19,19,18,19,19,18,19,19,18,19,19,18,19,20,18,19,19,20,"Cell29"
