cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1036,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell1037,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,24,3,10,7,3,10,7
Cell1038,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell1039,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell104,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,39,22,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6
Cell1040,8,2,40,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2
Cell1041,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,17,17,1,9,17,1,9
Cell1042,2,16,25,2,16,25,2,16,25,2,16,25,2,16,25,2,16,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,1,3,25
Cell1043,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8
Cell1044,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20
Cell1045,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell1046,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10,18,14,10
Cell1047,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27,9,5,27
Cell1048,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19,37,25,19
Cell1049,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18
Cell105,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,36,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11
