"20","25","30","35","40","45","50","cells"
12,8,22,22,6,9,14,"Cell1"
19,18,9,12,39,13,36,"Cell2"
18,23,19,3,5,35,6,"Cell3"
10,3,16,10,20,11,17,"Cell4"
11,25,24,25,35,37,10,"Cell5"
13,22,5,4,40,6,11,"Cell6"
10,18,14,26,27,17,38,"Cell7"
19,24,26,31,36,3,25,"Cell8"
10,13,26,7,13,40,28,"Cell9"
11,20,3,23,3,44,40,"Cell10"
10,18,14,26,18,17,43,"Cell11"
10,13,26,7,13,40,28,"Cell12"
8,1,29,27,26,4,15,"Cell13"
16,15,20,9,32,42,4,"Cell14"
13,22,5,4,40,6,11,"Cell15"
11,16,25,35,24,31,47,"Cell16"
16,13,20,9,4,33,46,"Cell17"
11,20,15,23,3,44,40,"Cell18"
14,21,18,15,19,20,33,"Cell19"
6,10,21,2,14,43,42,"Cell20"
11,25,24,25,35,37,10,"Cell22"
11,16,25,35,24,31,47,"Cell23"
19,24,26,31,36,3,2,"Cell24"
18,23,19,3,5,36,30,"Cell25"
19,5,13,19,23,13,20,"Cell26"
11,25,24,25,35,37,10,"Cell27"
10,18,14,26,27,17,38,"Cell28"
14,21,18,15,19,20,33,"Cell29"
18,23,19,3,5,36,30,"Cell30"
16,15,20,9,32,42,4,"Cell31"
16,15,20,9,32,42,49,"Cell32"
11,16,25,14,24,32,47,"Cell33"
10,7,17,24,22,12,18,"Cell34"
10,3,11,7,21,17,50,"Cell35"
19,18,9,12,39,13,36,"Cell36"
5,17,30,25,2,14,10,"Cell37"
19,18,9,30,39,13,36,"Cell38"
9,1,6,34,11,2,26,"Cell39"
19,5,13,19,23,13,20,"Cell40"
20,6,27,8,17,16,1,"Cell41"
10,18,14,26,18,17,43,"Cell42"
11,16,25,14,24,32,47,"Cell43"
19,24,26,31,36,3,2,"Cell44"
17,8,22,32,6,9,41,"Cell45"
15,1,29,27,38,39,15,"Cell46"
3,4,1,7,12,28,12,"Cell47"
9,1,29,27,34,41,23,"Cell48"
3,19,19,3,31,24,21,"Cell49"
9,1,29,27,8,41,23,"Cell50"
16,15,20,9,32,42,49,"Cell51"
3,4,1,7,12,28,12,"Cell52"
6,10,10,16,15,43,44,"Cell53"
18,23,19,3,5,36,30,"Cell54"
10,3,11,7,21,17,50,"Cell55"
3,12,1,7,12,22,8,"Cell56"
18,23,19,3,5,35,6,"Cell57"
10,3,16,10,20,30,17,"Cell58"
6,10,21,2,14,34,42,"Cell59"
10,18,14,26,18,17,43,"Cell60"
13,22,5,11,40,6,11,"Cell61"
19,24,26,31,36,23,25,"Cell62"
3,14,22,13,28,29,48,"Cell63"
8,1,29,27,16,4,15,"Cell64"
20,6,28,8,22,21,19,"Cell65"
18,23,19,3,5,35,6,"Cell66"
20,6,27,8,17,16,1,"Cell67"
16,13,20,9,4,38,46,"Cell68"
11,16,25,14,24,32,47,"Cell69"
10,18,14,26,18,17,38,"Cell70"
5,17,30,25,2,45,10,"Cell71"
10,3,16,10,20,30,17,"Cell72"
5,17,30,25,2,14,10,"Cell73"
7,1,29,27,16,39,15,"Cell74"
20,6,28,8,22,21,19,"Cell75"
16,15,20,9,32,42,3,"Cell76"
10,3,11,7,21,17,50,"Cell77"
19,24,26,31,36,23,25,"Cell78"
10,18,14,26,18,17,43,"Cell79"
10,18,14,26,27,17,38,"Cell80"
11,16,25,14,24,32,47,"Cell81"
10,3,11,7,21,17,50,"Cell82"
9,1,6,33,9,27,26,"Cell83"
3,19,19,3,31,24,21,"Cell84"
20,6,28,8,22,21,19,"Cell85"
20,6,27,8,17,16,1,"Cell86"
18,23,19,3,5,35,6,"Cell87"
13,22,5,4,40,6,11,"Cell88"
10,7,2,17,22,12,9,"Cell89"
1,21,23,15,25,20,13,"Cell90"
19,5,8,29,23,13,27,"Cell91"
3,2,22,13,28,15,48,"Cell92"
18,23,19,3,5,35,6,"Cell93"
19,5,13,19,23,13,20,"Cell94"
20,6,28,8,22,21,19,"Cell95"
19,24,26,31,36,3,2,"Cell96"
19,5,8,29,23,13,27,"Cell97"
10,21,11,28,30,5,31,"Cell98"
3,12,1,7,12,22,8,"Cell99"
16,15,20,9,32,42,3,"Cell100"
10,18,14,26,18,17,43,"Cell101"
9,1,29,27,8,41,23,"Cell102"
19,18,9,12,39,13,36,"Cell103"
10,18,14,26,18,17,43,"Cell104"
6,22,5,20,1,19,11,"Cell105"
6,10,10,16,15,43,44,"Cell106"
11,16,25,35,24,31,47,"Cell107"
8,1,29,27,16,39,15,"Cell108"
17,8,22,32,6,9,41,"Cell109"
10,7,17,24,22,12,18,"Cell110"
10,3,16,10,20,11,17,"Cell111"
16,15,20,9,32,26,3,"Cell112"
20,6,27,8,17,16,1,"Cell113"
11,16,25,14,24,32,47,"Cell114"
3,19,19,3,31,24,24,"Cell115"
3,19,19,3,31,8,5,"Cell116"
19,18,9,12,39,13,36,"Cell117"
2,1,29,27,26,4,15,"Cell118"
5,17,30,25,2,14,10,"Cell119"
3,14,22,13,28,29,48,"Cell120"
18,23,19,3,5,35,6,"Cell121"
10,21,11,28,30,5,31,"Cell122"
13,22,5,4,40,6,11,"Cell123"
9,1,6,33,9,27,26,"Cell124"
10,18,14,26,27,17,38,"Cell125"
6,22,5,20,1,19,11,"Cell126"
10,13,26,7,13,40,28,"Cell127"
10,3,11,7,21,17,50,"Cell128"
1,21,23,15,25,20,13,"Cell129"
19,18,9,30,39,13,36,"Cell130"
10,13,26,7,13,40,28,"Cell131"
18,23,19,3,5,36,30,"Cell132"
10,7,17,24,22,12,18,"Cell133"
3,12,1,7,12,22,8,"Cell134"
18,23,19,3,5,36,30,"Cell135"
10,18,14,26,27,17,38,"Cell136"
3,4,1,7,12,28,12,"Cell137"
16,15,20,9,32,42,49,"Cell138"
14,21,18,15,19,20,33,"Cell139"
20,6,28,8,22,21,39,"Cell140"
19,18,9,30,39,13,36,"Cell141"
11,16,25,14,24,32,47,"Cell142"
11,16,25,35,24,31,47,"Cell143"
10,3,16,10,20,11,17,"Cell144"
6,10,21,2,14,1,42,"Cell145"
20,6,28,8,22,21,19,"Cell146"
19,24,26,31,36,3,2,"Cell147"
11,16,25,14,24,32,47,"Cell148"
10,3,16,10,20,30,17,"Cell149"
1,21,23,15,25,20,45,"Cell150"
10,13,26,7,13,40,28,"Cell151"
9,1,29,27,34,41,23,"Cell152"
4,9,4,21,7,18,35,"Cell153"
17,8,22,6,6,7,7,"Cell154"
3,4,1,7,12,28,12,"Cell155"
4,11,4,21,7,18,35,"Cell156"
19,18,9,30,39,13,36,"Cell157"
3,12,1,7,12,22,8,"Cell158"
3,19,19,3,31,24,21,"Cell159"
19,5,8,29,23,13,27,"Cell160"
4,11,4,21,7,18,35,"Cell161"
10,21,11,28,30,5,31,"Cell162"
16,15,20,9,32,26,49,"Cell163"
16,15,20,9,32,26,16,"Cell164"
19,24,26,31,36,3,25,"Cell165"
10,21,11,28,30,5,31,"Cell166"
9,1,6,33,9,27,26,"Cell167"
11,16,25,35,24,31,47,"Cell168"
19,18,9,30,39,13,36,"Cell169"
10,7,12,24,22,12,18,"Cell170"
3,12,1,7,12,22,8,"Cell171"
17,8,22,32,6,9,41,"Cell172"
3,19,19,3,31,24,24,"Cell173"
2,1,29,27,26,4,15,"Cell174"
3,14,22,13,28,29,48,"Cell175"
20,6,27,8,17,16,1,"Cell176"
19,18,9,12,39,13,36,"Cell177"
9,1,29,27,34,41,23,"Cell178"
19,18,9,30,39,13,36,"Cell179"
19,5,7,5,33,13,34,"Cell180"
12,8,22,22,6,9,14,"Cell181"
16,13,20,9,4,38,46,"Cell182"
20,6,27,8,17,16,1,"Cell183"
6,22,5,20,1,19,11,"Cell184"
10,13,26,7,13,40,28,"Cell185"
11,20,15,23,3,44,40,"Cell186"
11,16,25,14,24,32,47,"Cell187"
11,20,3,23,3,44,40,"Cell188"
9,1,6,33,9,27,26,"Cell189"
18,23,19,3,5,35,6,"Cell190"
11,16,25,14,24,32,47,"Cell191"
19,24,26,31,36,23,25,"Cell192"
10,21,11,1,37,5,31,"Cell193"
19,24,26,31,36,23,25,"Cell194"
3,2,22,13,28,15,48,"Cell195"
6,22,5,20,1,19,11,"Cell196"
19,24,26,31,36,23,25,"Cell197"
3,2,22,13,28,15,48,"Cell198"
19,24,26,31,36,23,32,"Cell199"
6,10,10,16,15,1,44,"Cell200"
3,14,22,13,28,29,48,"Cell201"
9,1,6,34,11,2,26,"Cell202"
10,3,11,7,21,17,50,"Cell203"
10,21,11,28,30,5,31,"Cell204"
11,16,25,14,24,32,47,"Cell205"
7,1,29,27,16,39,15,"Cell206"
9,1,29,27,8,41,23,"Cell207"
11,25,24,25,35,37,10,"Cell208"
11,16,25,35,24,31,47,"Cell209"
10,7,17,24,22,12,37,"Cell210"
4,11,4,21,7,18,35,"Cell211"
11,16,25,14,24,32,47,"Cell212"
3,14,22,13,28,29,48,"Cell213"
11,25,24,25,10,37,10,"Cell214"
11,20,15,23,3,44,40,"Cell215"
20,6,27,8,17,16,1,"Cell216"
20,6,27,8,17,16,1,"Cell217"
16,13,20,9,4,38,46,"Cell218"
11,25,24,25,35,37,10,"Cell219"
16,15,20,9,32,42,49,"Cell220"
2,1,29,27,26,4,15,"Cell221"
15,1,29,27,38,39,15,"Cell222"
17,8,22,32,6,9,41,"Cell223"
10,18,14,26,27,17,38,"Cell224"
10,13,26,7,13,40,28,"Cell225"
19,18,9,12,39,13,36,"Cell226"
14,21,18,15,19,20,13,"Cell227"
2,1,29,27,26,4,15,"Cell228"
3,19,19,3,31,8,22,"Cell229"
10,3,16,10,20,11,17,"Cell230"
7,1,29,27,16,39,15,"Cell231"
14,21,18,15,19,20,33,"Cell232"
7,1,29,27,16,4,15,"Cell233"
3,2,22,13,28,15,48,"Cell234"
19,18,9,30,39,13,36,"Cell235"
11,16,25,14,24,32,47,"Cell236"
11,20,15,23,3,44,40,"Cell237"
10,21,11,28,30,5,31,"Cell238"
19,24,26,31,36,3,2,"Cell239"
19,24,26,31,36,3,2,"Cell240"
