cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34,20,17,34
Cell10,11,28,23,11,28,23,11,28,23,11,28,23,11,28,23,11,28,23,11,28,23,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14
Cell100,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14,11,28,14
Cell1000,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26,6,1,26
Cell1001,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,22,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20
Cell1002,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33
Cell1003,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12
Cell1004,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24
Cell1005,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17,7,29,17
Cell1006,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31,8,19,31
Cell1007,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,27,4,39,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1
Cell1008,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18
Cell1009,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33
Cell101,30,23,18,30,23,18,30,23,18,30,23,18,30,23,18,30,23,18,30,23,18,30,23,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18
Cell1010,29,7,20,29,7,20,29,7,20,29,7,20,29,7,20,29,7,20,29,7,20,29,7,20,29,7,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20,29,6,20
Cell1011,30,23,35,30,23,35,30,23,35,30,23,35,30,23,35,30,23,35,30,23,35,30,23,35,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18
Cell1012,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33
Cell1013,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,27,27,39,27,27,39,27,27,39,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1
Cell1014,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,27,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1
Cell1015,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18,30,21,18
Cell1016,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5
Cell1017,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24,37,5,24
Cell1018,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,17,9,36,16,9,36,16,9,36,16,9,36,16,9,36,16,9,36,16,9,36,16,9,36
Cell1019,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33,10,39,33
Cell102,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12,28,33,12
Cell1020,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15,26,40,15
Cell1021,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,25,29,37,7,29,17,7,29,17,7,29,17,7,29,17
Cell1022,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,15,30,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7
Cell1023,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,16,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38,13,14,38
Cell1024,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21,34,10,21
Cell1025,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,32,27,39,27,27,39,27,27,39,27,27,39,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1,24,4,1
Cell1026,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,30,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7,21,13,7
Cell1027,1,8,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5
