cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2
Cell10,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23
Cell100,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16
Cell1000,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2
Cell1001,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2
Cell1002,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37
Cell1003,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26
Cell1004,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35
Cell1005,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23
Cell1006,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5
Cell1007,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26,26,2,26
Cell1008,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30
Cell1009,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23
Cell101,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37
Cell1010,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23
Cell1011,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17
Cell1012,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,26,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5
Cell1013,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,35,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23,30,10,23
Cell1014,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,38,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5,16,16,5
Cell1015,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37
Cell1016,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,35,7,38,34,7,38
Cell1017,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2
Cell1018,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19
Cell1019,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27
Cell102,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40
Cell1020,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24,5,24,24
Cell1021,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39,4,22,39
Cell1022,25,36,15,25,36,15,25,36,15,25,36,15,25,36,15,25,36,15,25,36,15,25,36,15,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14
Cell1023,8,37,31,8,37,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31
Cell1024,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,8,11,23,1,11,23,1,11,23,1,10,23,1
Cell1025,13,25,36,13,25,36,13,25,36,13,19,36,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,13,19,18,12,19,18
Cell1026,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29
Cell1027,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29
Cell1028,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30,15,12,30
Cell1029,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,13,22,14,4,22,14,4,22,14,4
Cell103,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2
Cell1030,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12
Cell1031,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23,31,3,23
Cell1032,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2,29,39,2
Cell1033,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2
Cell1034,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27,2,13,27
Cell1035,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14
Cell1036,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,8,11,23,1,11,23,1,11,23,1,10,23,1
Cell1037,12,25,36,12,25,36,12,25,36,12,19,36,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18,12,19,18
Cell1038,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40,32,8,40
Cell1039,6,20,32,6,20,32,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12,6,20,12
Cell104,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37
Cell1040,1,32,25,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16,1,32,16
Cell1041,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14,25,36,14
Cell1042,14,31,34,14,31,34,14,31,34,14,31,34,14,31,34,14,31,34,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7
Cell1043,8,37,31,8,37,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31,8,30,31
Cell1044,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19
Cell1045,33,27,37,33,27,37,33,27,37,33,27,37,33,27,37,33,27,37,33,27,37,33,27,37,33,27,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37,33,18,37
Cell1046,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,20,11,23,8,11,23,1,11,23,1,11,23,1,10,23,1
Cell1047,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2,3,6,2
Cell1048,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6,19,28,6
Cell1049,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35,20,17,35
Cell105,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19
Cell1050,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9,23,22,9
Cell1051,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7,14,31,7
Cell1052,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17,24,21,17
Cell1053,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29,21,4,29
Cell1054,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3,18,5,3
