cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13
Cell10,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40,15,21,40
Cell100,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34,29,34,34
Cell1000,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12,21,25,12
Cell1001,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12,21,28,12
Cell1002,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,33,30,9,33,30
Cell1003,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11,1,16,11
Cell1004,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,39,2,26
Cell1005,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10,5,31,10
Cell1006,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3,36,24,3
Cell1007,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28,5,40,28
Cell1008,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24
Cell1009,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5,22,25,5
Cell101,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37
Cell1010,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19
Cell1011,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32,15,20,32
Cell1012,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13,17,13,13
Cell1013,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14
Cell1014,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24,30,14,24
Cell1015,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22,23,29,22
Cell1016,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14
Cell1017,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38,28,13,38
Cell1018,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21
Cell1019,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5,19,4,5
Cell102,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,39,30,9,33,30,9,33,30
Cell1020,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12,15,28,12
Cell1021,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7,2,6,7
Cell1022,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15,6,3,15
Cell1023,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37,3,36,37
Cell1024,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,32,32,31,20,32,31,20,32,31,20,32,31,20,32,31,20,32,31,20,32
Cell1025,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12
Cell1026,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21,21,26,21
Cell1027,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,34,23,9,33,23,9
Cell1028,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1,22,1,1
Cell1029,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,39,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14,10,5,14
Cell103,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17
Cell1030,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2
Cell1031,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,35,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,40,2,26,39,2,26
Cell1032,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35
Cell1033,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3,21,4,3
Cell1034,35,17,23,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4,35,17,4
Cell1035,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20,16,19,20
Cell1036,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,37,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17,4,7,17
Cell1037,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38,28,27,38
Cell1038,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34,18,34,34
Cell1039,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21,11,26,21
Cell104,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19,38,15,19
Cell1040,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33,22,1,33
Cell1041,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35,12,18,35
