"","nCells","param","Value","Name","n_clus","clustering","level"
"90","100","35",0.36153304189597,"X35.1-40",35,"X35.1",40
"91","100","35",0.250722986591885,"sc3-45",34,"sc3",45
"92","100","35",0.461037546996057,"X35-45",34,"X35",45
"93","100","35",0.36153304189597,"X35.1-45",35,"X35.1",45
"94","100","35",0.250722986591885,"sc3-50",34,"sc3",50
"95","100","35",0.461037546996057,"X35-50",34,"X35",50
"96","100","35",0.415582882284881,"X35.1-50",34,"X35.1",50
"97","100","35",0.250722986591885,"sc3-55",34,"sc3",55
"98","100","35",0.461037546996057,"X35-55",34,"X35",55
"99","100","35",0.415582882284881,"X35.1-55",34,"X35.1",55
"100","100","35",0.345732628398791,"sc3-60",33,"sc3",60
"101","100","35",0.461037546996057,"X35-60",34,"X35",60
"102","100","35",0.415582882284881,"X35.1-60",34,"X35.1",60
"103","100","35",0.345732628398791,"sc3-65",33,"sc3",65
"104","100","35",0.461037546996057,"X35-65",34,"X35",65
"105","100","35",0.415582882284881,"X35.1-65",34,"X35.1",65
"106","100","35",0.345732628398791,"sc3-70",33,"sc3",70
"107","100","35",0.461037546996057,"X35-70",34,"X35",70
"108","100","35",0.415582882284881,"X35.1-70",34,"X35.1",70
"109","100","35",0.345732628398791,"sc3-75",33,"sc3",75
"110","100","35",0.461037546996057,"X35-75",34,"X35",75
"111","100","35",0.415582882284881,"X35.1-75",34,"X35.1",75
"112","100","35",0.35320045994634,"sc3-80",32,"sc3",80
"113","100","35",0.461037546996057,"X35-80",34,"X35",80
"114","100","35",0.415582882284881,"X35.1-80",34,"X35.1",80
"115","100","35",0.35320045994634,"sc3-85",32,"sc3",85
"116","100","35",0.461037546996057,"X35-85",34,"X35",85
"117","100","35",0.415582882284881,"X35.1-85",34,"X35.1",85
"118","100","35",0.35320045994634,"sc3-90",32,"sc3",90
"119","100","35",0.475510838207591,"X35-90",33,"X35",90
"120","100","35",0.415582882284881,"X35.1-90",34,"X35.1",90
"121","100","35",0.35320045994634,"sc3-95",32,"sc3",95
"122","100","35",0.472222114523439,"X35-95",32,"X35",95
"123","100","35",0.415582882284881,"X35.1-95",34,"X35.1",95
"124","100","35",0.354380988317284,"sc3-100",31,"sc3",100
"125","100","35",0.472222114523439,"X35-100",32,"X35",100
"126","100","35",0.415582882284881,"X35.1-100",34,"X35.1",100
"127","100","40",0.188931369101506,"sc3-00",40,"sc3",0
"128","100","40",0.36978208495116,"X40-00",40,"X40",0
"129","100","40",0.315399313165185,"X40.1-00",40,"X40.1",0
"130","100","40",0.188931369101506,"sc3-05",40,"sc3",5
"131","100","40",0.437837720535579,"X40-05",39,"X40",5
"132","100","40",0.315399313165185,"X40.1-05",40,"X40.1",5
"133","100","40",0.188931369101506,"sc3-10",40,"sc3",10
"134","100","40",0.437837720535579,"X40-10",39,"X40",10
"135","100","40",0.315399313165185,"X40.1-10",40,"X40.1",10
"136","100","40",0.188931369101506,"sc3-15",40,"sc3",15
"137","100","40",0.437837720535579,"X40-15",39,"X40",15
"138","100","40",0.315399313165185,"X40.1-15",40,"X40.1",15
"139","100","40",0.188931369101506,"sc3-20",40,"sc3",20
"140","100","40",0.437837720535579,"X40-20",39,"X40",20
"141","100","40",0.315399313165185,"X40.1-20",40,"X40.1",20
"142","100","40",0.188931369101506,"sc3-25",40,"sc3",25
"143","100","40",0.437837720535579,"X40-25",39,"X40",25
"144","100","40",0.315399313165185,"X40.1-25",40,"X40.1",25
"145","100","40",0.188931369101506,"sc3-30",40,"sc3",30
"146","100","40",0.437837720535579,"X40-30",39,"X40",30
"147","100","40",0.315399313165185,"X40.1-30",40,"X40.1",30
"148","100","40",0.188931369101506,"sc3-35",40,"sc3",35
"149","100","40",0.469873314297143,"X40-35",38,"X40",35
"150","100","40",0.315399313165185,"X40.1-35",40,"X40.1",35
"151","100","40",0.188931369101506,"sc3-40",40,"sc3",40
"152","100","40",0.469873314297143,"X40-40",38,"X40",40
"153","100","40",0.315399313165185,"X40.1-40",40,"X40.1",40
"154","100","40",0.188931369101506,"sc3-45",40,"sc3",45
"155","100","40",0.469873314297143,"X40-45",38,"X40",45
"156","100","40",0.315399313165185,"X40.1-45",40,"X40.1",45
"157","100","40",0.188931369101506,"sc3-50",40,"sc3",50
"158","100","40",0.505703000177525,"X40-50",37,"X40",50
"159","100","40",0.315399313165185,"X40.1-50",40,"X40.1",50
"160","100","40",0.188931369101506,"sc3-55",40,"sc3",55
"161","100","40",0.505703000177525,"X40-55",37,"X40",55
"162","100","40",0.315399313165185,"X40.1-55",40,"X40.1",55
"163","100","40",0.239436435105421,"sc3-60",39,"sc3",60
"164","100","40",0.505703000177525,"X40-60",37,"X40",60
"165","100","40",0.315399313165185,"X40.1-60",40,"X40.1",60
"166","100","40",0.239436435105421,"sc3-65",39,"sc3",65
"167","100","40",0.505703000177525,"X40-65",37,"X40",65
"168","100","40",0.315399313165185,"X40.1-65",40,"X40.1",65
"169","100","40",0.343765584150635,"sc3-70",38,"sc3",70
"170","100","40",0.505703000177525,"X40-70",37,"X40",70
"171","100","40",0.315399313165185,"X40.1-70",40,"X40.1",70
"172","100","40",0.343765584150635,"sc3-75",38,"sc3",75
"173","100","40",0.505703000177525,"X40-75",37,"X40",75
"174","100","40",0.315399313165185,"X40.1-75",40,"X40.1",75
"175","100","40",0.343765584150635,"sc3-80",38,"sc3",80
"176","100","40",0.505703000177525,"X40-80",37,"X40",80
"177","100","40",0.312847839291729,"X40.1-80",39,"X40.1",80
"178","100","40",0.343765584150635,"sc3-85",38,"sc3",85
"179","100","40",0.51564890230289,"X40-85",36,"X40",85
"180","100","40",0.312847839291729,"X40.1-85",39,"X40.1",85
"181","100","40",0.347874166028432,"sc3-90",37,"sc3",90
"182","100","40",0.51564890230289,"X40-90",36,"X40",90
"183","100","40",0.312847839291729,"X40.1-90",39,"X40.1",90
"184","100","40",0.351931621612455,"sc3-95",36,"sc3",95
"185","100","40",0.51564890230289,"X40-95",36,"X40",95
"186","100","40",0.312847839291729,"X40.1-95",39,"X40.1",95
"187","100","40",0.351931621612455,"sc3-100",36,"sc3",100
"188","100","40",0.51564890230289,"X40-100",36,"X40",100
"189","100","40",0.334358604702596,"X40.1-100",38,"X40.1",100
"190","100","45",0.16444493524113,"sc3-00",45,"sc3",0
"191","100","45",0.306401075369262,"X45-00",45,"X45",0
"192","100","45",0.287896901411051,"X45.1-00",45,"X45.1",0
"193","100","45",0.16444493524113,"sc3-05",45,"sc3",5
"194","100","45",0.319181744875295,"X45-05",44,"X45",5
"195","100","45",0.287896901411051,"X45.1-05",45,"X45.1",5
"196","100","45",0.16444493524113,"sc3-10",45,"sc3",10
"197","100","45",0.319181744875295,"X45-10",44,"X45",10
"198","100","45",0.287896901411051,"X45.1-10",45,"X45.1",10
"199","100","45",0.16444493524113,"sc3-15",45,"sc3",15
"200","100","45",0.319181744875295,"X45-15",44,"X45",15
"201","100","45",0.287896901411051,"X45.1-15",45,"X45.1",15
"202","100","45",0.16444493524113,"sc3-20",45,"sc3",20
"203","100","45",0.319181744875295,"X45-20",44,"X45",20
"204","100","45",0.287896901411051,"X45.1-20",45,"X45.1",20
"205","100","45",0.16444493524113,"sc3-25",45,"sc3",25
"206","100","45",0.319181744875295,"X45-25",44,"X45",25
