Metric,method,Value,Name,n_clus,clustering,level
ARI,Dune,0.009256611582980922,SC3.00,40,SC3,0
ARI,Dune,0.001989127137728796,UMAP_KMEANS.00,40,UMAP_KMEANS,0
ARI,Dune,0.0035010431664905094,TSNE_KMEANS.00,40,TSNE_KMEANS,0
ARI,Dune,0.009256611582980922,SC3.05,40,SC3,5
ARI,Dune,0.001989127137728796,UMAP_KMEANS.05,40,UMAP_KMEANS,5
ARI,Dune,0.0030462860814736937,TSNE_KMEANS.05,33,TSNE_KMEANS,5
ARI,Dune,0.0077382570108669715,SC3.10,39,SC3,10
ARI,Dune,0.001989127137728796,UMAP_KMEANS.10,40,UMAP_KMEANS,10
ARI,Dune,0.0023477986766579535,TSNE_KMEANS.10,31,TSNE_KMEANS,10
ARI,Dune,0.0077382570108669715,SC3.15,39,SC3,15
ARI,Dune,0.001989127137728796,UMAP_KMEANS.15,40,UMAP_KMEANS,15
ARI,Dune,0.0021846127913996705,TSNE_KMEANS.15,28,TSNE_KMEANS,15
ARI,Dune,0.0077382570108669715,SC3.20,39,SC3,20
ARI,Dune,0.001989127137728796,UMAP_KMEANS.20,40,UMAP_KMEANS,20
ARI,Dune,0.001642528334323067,TSNE_KMEANS.20,25,TSNE_KMEANS,20
ARI,Dune,0.006545929892685837,SC3.25,38,SC3,25
ARI,Dune,0.001989127137728796,UMAP_KMEANS.25,40,UMAP_KMEANS,25
ARI,Dune,7.128624386878995e-4,TSNE_KMEANS.25,22,TSNE_KMEANS,25
ARI,Dune,0.006545929892685837,SC3.30,38,SC3,30
ARI,Dune,0.001989127137728796,UMAP_KMEANS.30,40,UMAP_KMEANS,30
ARI,Dune,4.943638516919571e-4,TSNE_KMEANS.30,20,TSNE_KMEANS,30
ARI,Dune,0.006545929892685837,SC3.35,38,SC3,35
ARI,Dune,0.001989127137728796,UMAP_KMEANS.35,40,UMAP_KMEANS,35
ARI,Dune,3.361098886472363e-4,TSNE_KMEANS.35,17,TSNE_KMEANS,35
ARI,Dune,0.00580698144154627,SC3.40,37,SC3,40
ARI,Dune,0.001989127137728796,UMAP_KMEANS.40,40,UMAP_KMEANS,40
ARI,Dune,2.1022579757159866e-4,TSNE_KMEANS.40,14,TSNE_KMEANS,40
ARI,Dune,0.003150753888605498,SC3.45,35,SC3,45
ARI,Dune,0.001989127137728796,UMAP_KMEANS.45,40,UMAP_KMEANS,45
ARI,Dune,2.4124273406285547e-4,TSNE_KMEANS.45,13,TSNE_KMEANS,45
ARI,Dune,9.862341296414687e-4,SC3.50,32,SC3,50
ARI,Dune,0.001989127137728796,UMAP_KMEANS.50,40,UMAP_KMEANS,50
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.50,11,TSNE_KMEANS,50
ARI,Dune,9.862341296414687e-4,SC3.55,32,SC3,55
ARI,Dune,0.0011635608087831003,UMAP_KMEANS.55,35,UMAP_KMEANS,55
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.55,11,TSNE_KMEANS,55
ARI,Dune,9.862341296414687e-4,SC3.60,32,SC3,60
ARI,Dune,8.755892869020581e-4,UMAP_KMEANS.60,32,UMAP_KMEANS,60
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.60,11,TSNE_KMEANS,60
ARI,Dune,9.862341296414687e-4,SC3.65,32,SC3,65
ARI,Dune,6.388047176896485e-4,UMAP_KMEANS.65,30,UMAP_KMEANS,65
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.65,11,TSNE_KMEANS,65
ARI,Dune,9.862341296414687e-4,SC3.70,32,SC3,70
ARI,Dune,4.6028568136067925e-4,UMAP_KMEANS.70,27,UMAP_KMEANS,70
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.70,11,TSNE_KMEANS,70
ARI,Dune,9.862341296414687e-4,SC3.75,32,SC3,75
ARI,Dune,3.249287215098275e-4,UMAP_KMEANS.75,25,UMAP_KMEANS,75
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.75,11,TSNE_KMEANS,75
ARI,Dune,9.862341296414687e-4,SC3.80,32,SC3,80
ARI,Dune,7.126403241879196e-5,UMAP_KMEANS.80,23,UMAP_KMEANS,80
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.80,11,TSNE_KMEANS,80
ARI,Dune,9.862341296414687e-4,SC3.85,32,SC3,85
ARI,Dune,9.7018883445826475e-05,UMAP_KMEANS.85,21,UMAP_KMEANS,85
ARI,Dune,1.5956577260243805e-4,TSNE_KMEANS.85,11,TSNE_KMEANS,85
ARI,Dune,9.862341296414687e-4,SC3.90,32,SC3,90
ARI,Dune,4.864365969522526e-5,UMAP_KMEANS.90,18,UMAP_KMEANS,90
ARI,Dune,1.3094093530403663e-4,TSNE_KMEANS.90,10,TSNE_KMEANS,90
ARI,Dune,6.322447576526767e-4,SC3.95,30,SC3,95
ARI,Dune,3.865406393023846e-5,UMAP_KMEANS.95,15,UMAP_KMEANS,95
ARI,Dune,7.699968222977128e-5,TSNE_KMEANS.95,9,TSNE_KMEANS,95
ARI,Dune,5.478751777576101e-4,SC3.100,27,SC3,100
ARI,Dune,1.3538141828858263e-4,UMAP_KMEANS.100,12,UMAP_KMEANS,100
ARI,Dune,1.9181464563978332e-7,TSNE_KMEANS.100,8,TSNE_KMEANS,100
ARI,Dune_NMI,0.009256611582980922,SC3.00,40,SC3,0
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.00,40,UMAP_KMEANS,0
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.00,40,TSNE_KMEANS,0
ARI,Dune_NMI,0.007654448996147136,SC3.05,39,SC3,5
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.05,40,UMAP_KMEANS,5
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.05,40,TSNE_KMEANS,5
ARI,Dune_NMI,0.007654448996147136,SC3.10,39,SC3,10
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.10,40,UMAP_KMEANS,10
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.10,40,TSNE_KMEANS,10
ARI,Dune_NMI,0.007654448996147136,SC3.15,39,SC3,15
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.15,40,UMAP_KMEANS,15
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.15,40,TSNE_KMEANS,15
ARI,Dune_NMI,0.007654448996147136,SC3.20,39,SC3,20
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.20,40,UMAP_KMEANS,20
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.20,40,TSNE_KMEANS,20
ARI,Dune_NMI,0.007654448996147136,SC3.25,39,SC3,25
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.25,40,UMAP_KMEANS,25
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.25,40,TSNE_KMEANS,25
ARI,Dune_NMI,0.007654448996147136,SC3.30,39,SC3,30
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.30,40,UMAP_KMEANS,30
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.30,40,TSNE_KMEANS,30
ARI,Dune_NMI,0.007654448996147136,SC3.35,39,SC3,35
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.35,40,UMAP_KMEANS,35
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.35,40,TSNE_KMEANS,35
ARI,Dune_NMI,0.007654448996147136,SC3.40,39,SC3,40
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.40,40,UMAP_KMEANS,40
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.40,40,TSNE_KMEANS,40
ARI,Dune_NMI,0.007654448996147136,SC3.45,39,SC3,45
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.45,40,UMAP_KMEANS,45
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.45,40,TSNE_KMEANS,45
ARI,Dune_NMI,0.006755315942670246,SC3.50,38,SC3,50
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.50,40,UMAP_KMEANS,50
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.50,40,TSNE_KMEANS,50
ARI,Dune_NMI,0.006755315942670246,SC3.55,38,SC3,55
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.55,40,UMAP_KMEANS,55
ARI,Dune_NMI,0.0035010431664905094,TSNE_KMEANS.55,40,TSNE_KMEANS,55
ARI,Dune_NMI,0.006755315942670246,SC3.60,38,SC3,60
ARI,Dune_NMI,0.001989127137728796,UMAP_KMEANS.60,40,UMAP_KMEANS,60
