"","sim","param","Value","Name","n_clus","clustering","level"
"sc3-75...61","Dataset_1","1_0.2",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...62","Dataset_1","1_0.2",0.933600111203201,"X40-75",24,"X40",75
"X40.1-75...63","Dataset_1","1_0.2",0.909550688853555,"X40.1-75",18,"X40.1",75
"random_1-75...64","Dataset_1","1_0.2",0.601956326106899,"random_1-75",27,"random_1",75
"sc3-80...65","Dataset_1","1_0.2",0.959263380682416,"sc3-80",40,"sc3",80
"X40-80...66","Dataset_1","1_0.2",0.933600111203201,"X40-80",24,"X40",80
"X40.1-80...67","Dataset_1","1_0.2",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...68","Dataset_1","1_0.2",0.623347397925763,"random_1-80",23,"random_1",80
"sc3-85...69","Dataset_1","1_0.2",0.962696804962708,"sc3-85",39,"sc3",85
"X40-85...70","Dataset_1","1_0.2",0.933600111203201,"X40-85",24,"X40",85
"X40.1-85...71","Dataset_1","1_0.2",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...72","Dataset_1","1_0.2",0.639123212169758,"random_1-85",20,"random_1",85
"sc3-90...73","Dataset_1","1_0.2",0.962696804962708,"sc3-90",39,"sc3",90
"X40-90...74","Dataset_1","1_0.2",0.950761112521031,"X40-90",19,"X40",90
"X40.1-90...75","Dataset_1","1_0.2",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...76","Dataset_1","1_0.2",0.639123212169758,"random_1-90",20,"random_1",90
"sc3-95...77","Dataset_1","1_0.2",0.974926718394616,"sc3-95",34,"sc3",95
"X40-95...78","Dataset_1","1_0.2",0.950761112521031,"X40-95",19,"X40",95
"X40.1-95...79","Dataset_1","1_0.2",0.909550688853555,"X40.1-95",18,"X40.1",95
"random_1-95...80","Dataset_1","1_0.2",0.639123212169758,"random_1-95",20,"random_1",95
"sc3-100...81","Dataset_1","1_0.2",0.98732750304366,"sc3-100",21,"sc3",100
"X40-100...82","Dataset_1","1_0.2",0.950761112521031,"X40-100",19,"X40",100
"X40.1-100...83","Dataset_1","1_0.2",0.909550688853555,"X40.1-100",18,"X40.1",100
"random_1-100...84","Dataset_1","1_0.2",0.639123212169758,"random_1-100",20,"random_1",100
"sc3-00...85","Dataset_1","2_0.2",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...86","Dataset_1","2_0.2",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...87","Dataset_1","2_0.2",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...88","Dataset_1","2_0.2",0.519521696571707,"random_1-00",35,"random_1",0
"random_2-00...89","Dataset_1","2_0.2",0.450458511760203,"random_2-00",45,"random_2",0
"sc3-05...90","Dataset_1","2_0.2",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...91","Dataset_1","2_0.2",0.805841861789305,"X40-05",38,"X40",5
"X40.1-05...92","Dataset_1","2_0.2",0.701503815888235,"X40.1-05",39,"X40.1",5
"random_1-05...93","Dataset_1","2_0.2",0.533293613917341,"random_1-05",34,"random_1",5
"random_2-05...94","Dataset_1","2_0.2",0.450458511760203,"random_2-05",45,"random_2",5
"sc3-10...95","Dataset_1","2_0.2",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...96","Dataset_1","2_0.2",0.821834289430369,"X40-10",37,"X40",10
"X40.1-10...97","Dataset_1","2_0.2",0.701503815888235,"X40.1-10",39,"X40.1",10
"random_1-10...98","Dataset_1","2_0.2",0.533293613917341,"random_1-10",34,"random_1",10
"random_2-10...99","Dataset_1","2_0.2",0.480946553107376,"random_2-10",43,"random_2",10
"sc3-15...100","Dataset_1","2_0.2",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...101","Dataset_1","2_0.2",0.836962460610439,"X40-15",36,"X40",15
"X40.1-15...102","Dataset_1","2_0.2",0.742794457760674,"X40.1-15",36,"X40.1",15
"random_1-15...103","Dataset_1","2_0.2",0.533293613917341,"random_1-15",34,"random_1",15
"random_2-15...104","Dataset_1","2_0.2",0.480946553107376,"random_2-15",43,"random_2",15
"sc3-20...105","Dataset_1","2_0.2",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...106","Dataset_1","2_0.2",0.850746371413074,"X40-20",35,"X40",20
"X40.1-20...107","Dataset_1","2_0.2",0.742794457760674,"X40.1-20",36,"X40.1",20
"random_1-20...108","Dataset_1","2_0.2",0.554945593247086,"random_1-20",32,"random_1",20
"random_2-20...109","Dataset_1","2_0.2",0.49538160240541,"random_2-20",42,"random_2",20
"sc3-25...110","Dataset_1","2_0.2",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...111","Dataset_1","2_0.2",0.850746371413074,"X40-25",35,"X40",25
"X40.1-25...112","Dataset_1","2_0.2",0.742794457760674,"X40.1-25",36,"X40.1",25
"random_1-25...113","Dataset_1","2_0.2",0.554945593247086,"random_1-25",32,"random_1",25
"random_2-25...114","Dataset_1","2_0.2",0.53023429407053,"random_2-25",38,"random_2",25
"sc3-30...115","Dataset_1","2_0.2",0.959263380682416,"sc3-30",40,"sc3",30
"X40-30...116","Dataset_1","2_0.2",0.862370615813294,"X40-30",34,"X40",30
"X40.1-30...117","Dataset_1","2_0.2",0.763752806161075,"X40.1-30",34,"X40.1",30
"random_1-30...118","Dataset_1","2_0.2",0.554945593247086,"random_1-30",32,"random_1",30
"random_2-30...119","Dataset_1","2_0.2",0.540407885270827,"random_2-30",37,"random_2",30
"sc3-35...120","Dataset_1","2_0.2",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...121","Dataset_1","2_0.2",0.876870080148789,"X40-35",33,"X40",35
"X40.1-35...122","Dataset_1","2_0.2",0.782332082283308,"X40.1-35",32,"X40.1",35
"random_1-35...123","Dataset_1","2_0.2",0.571201187534644,"random_1-35",31,"random_1",35
"random_2-35...124","Dataset_1","2_0.2",0.557586863764807,"random_2-35",36,"random_2",35
"sc3-40...125","Dataset_1","2_0.2",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...126","Dataset_1","2_0.2",0.892059428441609,"X40-40",31,"X40",40
"X40.1-40...127","Dataset_1","2_0.2",0.796249117277213,"X40.1-40",31,"X40.1",40
"random_1-40...128","Dataset_1","2_0.2",0.578597049176477,"random_1-40",30,"random_1",40
"random_2-40...129","Dataset_1","2_0.2",0.557586863764807,"random_2-40",36,"random_2",40
"sc3-45...130","Dataset_1","2_0.2",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...131","Dataset_1","2_0.2",0.892059428441609,"X40-45",31,"X40",45
"X40.1-45...132","Dataset_1","2_0.2",0.812157718426553,"X40.1-45",29,"X40.1",45
"random_1-45...133","Dataset_1","2_0.2",0.589814329024592,"random_1-45",29,"random_1",45
"random_2-45...134","Dataset_1","2_0.2",0.56946636518976,"random_2-45",35,"random_2",45
"sc3-50...135","Dataset_1","2_0.2",0.959263380682416,"sc3-50",40,"sc3",50
"X40-50...136","Dataset_1","2_0.2",0.895628095810002,"X40-50",30,"X40",50
"X40.1-50...137","Dataset_1","2_0.2",0.839890619618257,"X40.1-50",26,"X40.1",50
"random_1-50...138","Dataset_1","2_0.2",0.589814329024592,"random_1-50",29,"random_1",50
"random_2-50...139","Dataset_1","2_0.2",0.56946636518976,"random_2-50",35,"random_2",50
"sc3-55...140","Dataset_1","2_0.2",0.959263380682416,"sc3-55",40,"sc3",55
"X40-55...141","Dataset_1","2_0.2",0.908366077693097,"X40-55",28,"X40",55
"X40.1-55...142","Dataset_1","2_0.2",0.857757923738794,"X40.1-55",24,"X40.1",55
"random_1-55...143","Dataset_1","2_0.2",0.59348130410161,"random_1-55",28,"random_1",55
"random_2-55...144","Dataset_1","2_0.2",0.56946636518976,"random_2-55",35,"random_2",55
"sc3-60...145","Dataset_1","2_0.2",0.959263380682416,"sc3-60",40,"sc3",60
"X40-60...146","Dataset_1","2_0.2",0.908366077693097,"X40-60",28,"X40",60
"X40.1-60...147","Dataset_1","2_0.2",0.875958941529443,"X40.1-60",22,"X40.1",60
"random_1-60...148","Dataset_1","2_0.2",0.600196776522807,"random_1-60",27,"random_1",60
"random_2-60...149","Dataset_1","2_0.2",0.582528992458199,"random_2-60",33,"random_2",60
"sc3-65...150","Dataset_1","2_0.2",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...151","Dataset_1","2_0.2",0.913925675211582,"X40-65",27,"X40",65
"X40.1-65...152","Dataset_1","2_0.2",0.875958941529443,"X40.1-65",22,"X40.1",65
"random_1-65...153","Dataset_1","2_0.2",0.610829164674593,"random_1-65",25,"random_1",65
"random_2-65...154","Dataset_1","2_0.2",0.590825623197495,"random_2-65",32,"random_2",65
"sc3-70...155","Dataset_1","2_0.2",0.959263380682416,"sc3-70",40,"sc3",70
"X40-70...156","Dataset_1","2_0.2",0.933600111203201,"X40-70",24,"X40",70
"X40.1-70...157","Dataset_1","2_0.2",0.8883873004756,"X40.1-70",21,"X40.1",70
"random_1-70...158","Dataset_1","2_0.2",0.610829164674593,"random_1-70",25,"random_1",70
"random_2-70...159","Dataset_1","2_0.2",0.597492040057127,"random_2-70",30,"random_2",70
"sc3-75...160","Dataset_1","2_0.2",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...161","Dataset_1","2_0.2",0.933600111203201,"X40-75",24,"X40",75
"X40.1-75...162","Dataset_1","2_0.2",0.909550688853555,"X40.1-75",18,"X40.1",75
"random_1-75...163","Dataset_1","2_0.2",0.620035327282552,"random_1-75",24,"random_1",75
"random_2-75...164","Dataset_1","2_0.2",0.602735772447517,"random_2-75",29,"random_2",75
"sc3-80...165","Dataset_1","2_0.2",0.959263380682416,"sc3-80",40,"sc3",80
"X40-80...166","Dataset_1","2_0.2",0.933600111203201,"X40-80",24,"X40",80
"X40.1-80...167","Dataset_1","2_0.2",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...168","Dataset_1","2_0.2",0.630421802207965,"random_1-80",22,"random_1",80
