"","sim","param","Value","Name","n_clus","clustering","level"
"random_1-60...682","Dataset_1","1_0.6",0.155923417929385,"random_1-60",35,"random_1",60
"sc3-65...683","Dataset_1","1_0.6",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...684","Dataset_1","1_0.6",0.888529043795095,"X40-65",31,"X40",65
"X40.1-65...685","Dataset_1","1_0.6",0.895950301673984,"X40.1-65",20,"X40.1",65
"random_1-65...686","Dataset_1","1_0.6",0.155923417929385,"random_1-65",35,"random_1",65
"sc3-70...687","Dataset_1","1_0.6",0.959263380682416,"sc3-70",40,"sc3",70
"X40-70...688","Dataset_1","1_0.6",0.897770410642415,"X40-70",30,"X40",70
"X40.1-70...689","Dataset_1","1_0.6",0.901481279768746,"X40.1-70",19,"X40.1",70
"random_1-70...690","Dataset_1","1_0.6",0.155923417929385,"random_1-70",35,"random_1",70
"sc3-75...691","Dataset_1","1_0.6",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...692","Dataset_1","1_0.6",0.912452850945338,"X40-75",28,"X40",75
"X40.1-75...693","Dataset_1","1_0.6",0.909550688853555,"X40.1-75",18,"X40.1",75
"random_1-75...694","Dataset_1","1_0.6",0.155923417929385,"random_1-75",35,"random_1",75
"sc3-80...695","Dataset_1","1_0.6",0.959263380682416,"sc3-80",40,"sc3",80
"X40-80...696","Dataset_1","1_0.6",0.921880038044031,"X40-80",26,"X40",80
"X40.1-80...697","Dataset_1","1_0.6",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...698","Dataset_1","1_0.6",0.155923417929385,"random_1-80",35,"random_1",80
"sc3-85...699","Dataset_1","1_0.6",0.959263380682416,"sc3-85",40,"sc3",85
"X40-85...700","Dataset_1","1_0.6",0.935028434501846,"X40-85",23,"X40",85
"X40.1-85...701","Dataset_1","1_0.6",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...702","Dataset_1","1_0.6",0.155923417929385,"random_1-85",35,"random_1",85
"sc3-90...703","Dataset_1","1_0.6",0.959263380682416,"sc3-90",40,"sc3",90
"X40-90...704","Dataset_1","1_0.6",0.945799043240766,"X40-90",20,"X40",90
"X40.1-90...705","Dataset_1","1_0.6",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...706","Dataset_1","1_0.6",0.155923417929385,"random_1-90",35,"random_1",90
"sc3-95...707","Dataset_1","1_0.6",0.971334240835741,"sc3-95",36,"sc3",95
"X40-95...708","Dataset_1","1_0.6",0.950761112521031,"X40-95",19,"X40",95
"X40.1-95...709","Dataset_1","1_0.6",0.909550688853555,"X40.1-95",18,"X40.1",95
"random_1-95...710","Dataset_1","1_0.6",0.155923417929385,"random_1-95",35,"random_1",95
"sc3-100...711","Dataset_1","1_0.6",0.98732750304366,"sc3-100",21,"sc3",100
"X40-100...712","Dataset_1","1_0.6",0.950761112521031,"X40-100",19,"X40",100
"X40.1-100...713","Dataset_1","1_0.6",0.909550688853555,"X40.1-100",18,"X40.1",100
"random_1-100...714","Dataset_1","1_0.6",0.155923417929385,"random_1-100",35,"random_1",100
"sc3-00...715","Dataset_1","2_0.6",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...716","Dataset_1","2_0.6",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...717","Dataset_1","2_0.6",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...718","Dataset_1","2_0.6",0.131712592727649,"random_1-00",35,"random_1",0
"random_2-00...719","Dataset_1","2_0.6",0.114906981233038,"random_2-00",45,"random_2",0
"sc3-05...720","Dataset_1","2_0.6",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...721","Dataset_1","2_0.6",0.802843136789656,"X40-05",38,"X40",5
"X40.1-05...722","Dataset_1","2_0.6",0.716940487771988,"X40.1-05",38,"X40.1",5
"random_1-05...723","Dataset_1","2_0.6",0.131712592727649,"random_1-05",35,"random_1",5
"random_2-05...724","Dataset_1","2_0.6",0.114906981233038,"random_2-05",45,"random_2",5
"sc3-10...725","Dataset_1","2_0.6",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...726","Dataset_1","2_0.6",0.818908664579923,"X40-10",37,"X40",10
"X40.1-10...727","Dataset_1","2_0.6",0.738691881835287,"X40.1-10",36,"X40.1",10
"random_1-10...728","Dataset_1","2_0.6",0.133630899919736,"random_1-10",34,"random_1",10
"random_2-10...729","Dataset_1","2_0.6",0.114906981233038,"random_2-10",45,"random_2",10
"sc3-15...730","Dataset_1","2_0.6",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...731","Dataset_1","2_0.6",0.818908664579923,"X40-15",37,"X40",15
"X40.1-15...732","Dataset_1","2_0.6",0.763752806161075,"X40.1-15",34,"X40.1",15
"random_1-15...733","Dataset_1","2_0.6",0.136130812698987,"random_1-15",33,"random_1",15
"random_2-15...734","Dataset_1","2_0.6",0.114906981233038,"random_2-15",45,"random_2",15
"sc3-20...735","Dataset_1","2_0.6",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...736","Dataset_1","2_0.6",0.836962460610439,"X40-20",36,"X40",20
"X40.1-20...737","Dataset_1","2_0.6",0.778527812410996,"X40.1-20",33,"X40.1",20
"random_1-20...738","Dataset_1","2_0.6",0.139690890226778,"random_1-20",32,"random_1",20
"random_2-20...739","Dataset_1","2_0.6",0.11850129993683,"random_2-20",44,"random_2",20
"sc3-25...740","Dataset_1","2_0.6",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...741","Dataset_1","2_0.6",0.855892349074323,"X40-25",34,"X40",25
"X40.1-25...742","Dataset_1","2_0.6",0.799083345932403,"X40.1-25",31,"X40.1",25
"random_1-25...743","Dataset_1","2_0.6",0.139690890226778,"random_1-25",32,"random_1",25
"random_2-25...744","Dataset_1","2_0.6",0.11850129993683,"random_2-25",44,"random_2",25
"sc3-30...745","Dataset_1","2_0.6",0.959263380682416,"sc3-30",40,"sc3",30
"X40-30...746","Dataset_1","2_0.6",0.872532820054756,"X40-30",32,"X40",30
"X40.1-30...747","Dataset_1","2_0.6",0.81904960387576,"X40.1-30",28,"X40.1",30
"random_1-30...748","Dataset_1","2_0.6",0.139690890226778,"random_1-30",32,"random_1",30
"random_2-30...749","Dataset_1","2_0.6",0.11850129993683,"random_2-30",44,"random_2",30
"sc3-35...750","Dataset_1","2_0.6",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...751","Dataset_1","2_0.6",0.872532820054756,"X40-35",32,"X40",35
"X40.1-35...752","Dataset_1","2_0.6",0.833418295290284,"X40.1-35",27,"X40.1",35
"random_1-35...753","Dataset_1","2_0.6",0.142367164301269,"random_1-35",31,"random_1",35
"random_2-35...754","Dataset_1","2_0.6",0.121574475045116,"random_2-35",43,"random_2",35
"sc3-40...755","Dataset_1","2_0.6",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...756","Dataset_1","2_0.6",0.897770410642415,"X40-40",30,"X40",40
"X40.1-40...757","Dataset_1","2_0.6",0.856905316499999,"X40.1-40",25,"X40.1",40
"random_1-40...758","Dataset_1","2_0.6",0.145224161650284,"random_1-40",30,"random_1",40
"random_2-40...759","Dataset_1","2_0.6",0.121574475045116,"random_2-40",43,"random_2",40
"sc3-45...760","Dataset_1","2_0.6",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...761","Dataset_1","2_0.6",0.902598299073763,"X40-45",29,"X40",45
"X40.1-45...762","Dataset_1","2_0.6",0.878192088151234,"X40.1-45",22,"X40.1",45
"random_1-45...763","Dataset_1","2_0.6",0.145224161650284,"random_1-45",30,"random_1",45
"random_2-45...764","Dataset_1","2_0.6",0.121574475045116,"random_2-45",43,"random_2",45
"sc3-50...765","Dataset_1","2_0.6",0.959263380682416,"sc3-50",40,"sc3",50
"X40-50...766","Dataset_1","2_0.6",0.912452850945338,"X40-50",28,"X40",50
"X40.1-50...767","Dataset_1","2_0.6",0.898818310197427,"X40.1-50",19,"X40.1",50
"random_1-50...768","Dataset_1","2_0.6",0.145224161650284,"random_1-50",30,"random_1",50
"random_2-50...769","Dataset_1","2_0.6",0.121574475045116,"random_2-50",43,"random_2",50
"sc3-55...770","Dataset_1","2_0.6",0.959263380682416,"sc3-55",40,"sc3",55
"X40-55...771","Dataset_1","2_0.6",0.912452850945338,"X40-55",28,"X40",55
"X40.1-55...772","Dataset_1","2_0.6",0.909550688853555,"X40.1-55",18,"X40.1",55
"random_1-55...773","Dataset_1","2_0.6",0.147111516267041,"random_1-55",29,"random_1",55
"random_2-55...774","Dataset_1","2_0.6",0.126618910375236,"random_2-55",40,"random_2",55
"sc3-60...775","Dataset_1","2_0.6",0.959263380682416,"sc3-60",40,"sc3",60
"X40-60...776","Dataset_1","2_0.6",0.912452850945338,"X40-60",28,"X40",60
"X40.1-60...777","Dataset_1","2_0.6",0.909550688853555,"X40.1-60",18,"X40.1",60
"random_1-60...778","Dataset_1","2_0.6",0.151401115000526,"random_1-60",27,"random_1",60
"random_2-60...779","Dataset_1","2_0.6",0.130813447341747,"random_2-60",37,"random_2",60
"sc3-65...780","Dataset_1","2_0.6",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...781","Dataset_1","2_0.6",0.928222116473239,"X40-65",25,"X40",65
"X40.1-65...782","Dataset_1","2_0.6",0.909550688853555,"X40.1-65",18,"X40.1",65
"random_1-65...783","Dataset_1","2_0.6",0.151401115000526,"random_1-65",27,"random_1",65
"random_2-65...784","Dataset_1","2_0.6",0.132810441322751,"random_2-65",36,"random_2",65
"sc3-70...785","Dataset_1","2_0.6",0.959263380682416,"sc3-70",40,"sc3",70
"X40-70...786","Dataset_1","2_0.6",0.933600111203201,"X40-70",24,"X40",70
"X40.1-70...787","Dataset_1","2_0.6",0.909550688853555,"X40.1-70",18,"X40.1",70
"random_1-70...788","Dataset_1","2_0.6",0.152113695677198,"random_1-70",26,"random_1",70
"random_2-70...789","Dataset_1","2_0.6",0.138630963659941,"random_2-70",33,"random_2",70
"sc3-75...790","Dataset_1","2_0.6",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...791","Dataset_1","2_0.6",0.933600111203201,"X40-75",24,"X40",75
"X40.1-75...792","Dataset_1","2_0.6",0.909550688853555,"X40.1-75",18,"X40.1",75
"random_1-75...793","Dataset_1","2_0.6",0.156218171793198,"random_1-75",24,"random_1",75
"random_2-75...794","Dataset_1","2_0.6",0.146187951725452,"random_2-75",29,"random_2",75
"sc3-80...795","Dataset_1","2_0.6",0.962696804962708,"sc3-80",39,"sc3",80
"X40-80...796","Dataset_1","2_0.6",0.945799043240766,"X40-80",20,"X40",80
"X40.1-80...797","Dataset_1","2_0.6",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...798","Dataset_1","2_0.6",0.156218171793198,"random_1-80",24,"random_1",80
"random_2-80...799","Dataset_1","2_0.6",0.146187951725452,"random_2-80",29,"random_2",80
"sc3-85...800","Dataset_1","2_0.6",0.968934971688462,"sc3-85",37,"sc3",85
"X40-85...801","Dataset_1","2_0.6",0.950761112521031,"X40-85",19,"X40",85
"X40.1-85...802","Dataset_1","2_0.6",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...803","Dataset_1","2_0.6",0.158514633999182,"random_1-85",22,"random_1",85
"random_2-85...804","Dataset_1","2_0.6",0.146187951725452,"random_2-85",29,"random_2",85
"sc3-90...805","Dataset_1","2_0.6",0.971334240835741,"sc3-90",36,"sc3",90
"X40-90...806","Dataset_1","2_0.6",0.950761112521031,"X40-90",19,"X40",90
"X40.1-90...807","Dataset_1","2_0.6",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...808","Dataset_1","2_0.6",0.159164583683015,"random_1-90",21,"random_1",90
"random_2-90...809","Dataset_1","2_0.6",0.149948617400084,"random_2-90",24,"random_2",90
"sc3-95...810","Dataset_1","2_0.6",0.971334240835741,"sc3-95",36,"sc3",95
"X40-95...811","Dataset_1","2_0.6",0.950761112521031,"X40-95",19,"X40",95
"X40.1-95...812","Dataset_1","2_0.6",0.909550688853555,"X40.1-95",18,"X40.1",95
"random_1-95...813","Dataset_1","2_0.6",0.159982676121871,"random_1-95",20,"random_1",95
"random_2-95...814","Dataset_1","2_0.6",0.153520145501771,"random_2-95",19,"random_2",95
"sc3-100...815","Dataset_1","2_0.6",0.98732750304366,"sc3-100",21,"sc3",100
"X40-100...816","Dataset_1","2_0.6",0.950761112521031,"X40-100",19,"X40",100
"X40.1-100...817","Dataset_1","2_0.6",0.909550688853555,"X40.1-100",18,"X40.1",100
"random_1-100...818","Dataset_1","2_0.6",0.159982676121871,"random_1-100",20,"random_1",100
"random_2-100...819","Dataset_1","2_0.6",0.153520145501771,"random_2-100",19,"random_2",100
"sc3-00...820","Dataset_1","3_0.6",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...821","Dataset_1","3_0.6",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...822","Dataset_1","3_0.6",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...823","Dataset_1","3_0.6",0.126522981770422,"random_1-00",35,"random_1",0
"random_2-00...824","Dataset_1","3_0.6",0.1114304519944,"random_2-00",45,"random_2",0
"random_3-00...825","Dataset_1","3_0.6",0.12665665976622,"random_3-00",35,"random_3",0
"sc3-05...826","Dataset_1","3_0.6",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...827","Dataset_1","3_0.6",0.786889003234594,"X40-05",39,"X40",5
"X40.1-05...828","Dataset_1","3_0.6",0.683190221437966,"X40.1-05",40,"X40.1",5
"random_1-05...829","Dataset_1","3_0.6",0.1299356926509,"random_1-05",34,"random_1",5
"random_2-05...830","Dataset_1","3_0.6",0.114565436022993,"random_2-05",44,"random_2",5
"random_3-05...831","Dataset_1","3_0.6",0.128985740542619,"random_3-05",34,"random_3",5
"sc3-10...832","Dataset_1","3_0.6",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...833","Dataset_1","3_0.6",0.802843136789656,"X40-10",38,"X40",10
"X40.1-10...834","Dataset_1","3_0.6",0.683190221437966,"X40.1-10",40,"X40.1",10
"random_1-10...835","Dataset_1","3_0.6",0.1299356926509,"random_1-10",34,"random_1",10
"random_2-10...836","Dataset_1","3_0.6",0.123794360982246,"random_2-10",42,"random_2",10
"random_3-10...837","Dataset_1","3_0.6",0.132049874346763,"random_3-10",33,"random_3",10
"sc3-15...838","Dataset_1","3_0.6",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...839","Dataset_1","3_0.6",0.802843136789656,"X40-15",38,"X40",15
"X40.1-15...840","Dataset_1","3_0.6",0.699028279707356,"X40.1-15",39,"X40.1",15
"random_1-15...841","Dataset_1","3_0.6",0.139311368403506,"random_1-15",31,"random_1",15
"random_2-15...842","Dataset_1","3_0.6",0.12786720606986,"random_2-15",41,"random_2",15
"random_3-15...843","Dataset_1","3_0.6",0.132049874346763,"random_3-15",33,"random_3",15
"sc3-20...844","Dataset_1","3_0.6",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...845","Dataset_1","3_0.6",0.802843136789656,"X40-20",38,"X40",20
"X40.1-20...846","Dataset_1","3_0.6",0.716940487771988,"X40.1-20",38,"X40.1",20
"random_1-20...847","Dataset_1","3_0.6",0.143979554619259,"random_1-20",30,"random_1",20
"random_2-20...848","Dataset_1","3_0.6",0.132218771206027,"random_2-20",39,"random_2",20
"random_3-20...849","Dataset_1","3_0.6",0.132049874346763,"random_3-20",33,"random_3",20
"sc3-25...850","Dataset_1","3_0.6",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...851","Dataset_1","3_0.6",0.818908664579923,"X40-25",37,"X40",25
"X40.1-25...852","Dataset_1","3_0.6",0.727338434382359,"X40.1-25",37,"X40.1",25
"random_1-25...853","Dataset_1","3_0.6",0.14895642955392,"random_1-25",28,"random_1",25
"random_2-25...854","Dataset_1","3_0.6",0.133944455252556,"random_2-25",38,"random_2",25
"random_3-25...855","Dataset_1","3_0.6",0.133444407629225,"random_3-25",32,"random_3",25
"sc3-30...856","Dataset_1","3_0.6",0.959263380682416,"sc3-30",40,"sc3",30
"X40-30...857","Dataset_1","3_0.6",0.818908664579923,"X40-30",37,"X40",30
"X40.1-30...858","Dataset_1","3_0.6",0.727338434382359,"X40.1-30",37,"X40.1",30
"random_1-30...859","Dataset_1","3_0.6",0.14895642955392,"random_1-30",28,"random_1",30
"random_2-30...860","Dataset_1","3_0.6",0.139834515408223,"random_2-30",35,"random_2",30
"random_3-30...861","Dataset_1","3_0.6",0.13631638435976,"random_3-30",30,"random_3",30
"sc3-35...862","Dataset_1","3_0.6",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...863","Dataset_1","3_0.6",0.846354215130471,"X40-35",35,"X40",35
"X40.1-35...864","Dataset_1","3_0.6",0.746928056088592,"X40.1-35",35,"X40.1",35
"random_1-35...865","Dataset_1","3_0.6",0.14895642955392,"random_1-35",28,"random_1",35
"random_2-35...866","Dataset_1","3_0.6",0.139834515408223,"random_2-35",35,"random_2",35
"random_3-35...867","Dataset_1","3_0.6",0.137790609044699,"random_3-35",29,"random_3",35
"sc3-40...868","Dataset_1","3_0.6",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...869","Dataset_1","3_0.6",0.863654531361441,"X40-40",34,"X40",40
"X40.1-40...870","Dataset_1","3_0.6",0.796249117277213,"X40.1-40",31,"X40.1",40
"random_1-40...871","Dataset_1","3_0.6",0.14895642955392,"random_1-40",28,"random_1",40
"random_2-40...872","Dataset_1","3_0.6",0.139834515408223,"random_2-40",35,"random_2",40
"random_3-40...873","Dataset_1","3_0.6",0.137790609044699,"random_3-40",29,"random_3",40
"sc3-45...874","Dataset_1","3_0.6",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...875","Dataset_1","3_0.6",0.863654531361441,"X40-45",34,"X40",45
"X40.1-45...876","Dataset_1","3_0.6",0.796249117277213,"X40.1-45",31,"X40.1",45
"random_1-45...877","Dataset_1","3_0.6",0.14895642955392,"random_1-45",28,"random_1",45
"random_2-45...878","Dataset_1","3_0.6",0.139834515408223,"random_2-45",35,"random_2",45
"random_3-45...879","Dataset_1","3_0.6",0.143821978417005,"random_3-45",24,"random_3",45
"sc3-50...880","Dataset_1","3_0.6",0.959263380682416,"sc3-50",40,"sc3",50
"X40-50...881","Dataset_1","3_0.6",0.876870080148789,"X40-50",33,"X40",50
"X40.1-50...882","Dataset_1","3_0.6",0.829025691507971,"X40.1-50",28,"X40.1",50
"random_1-50...883","Dataset_1","3_0.6",0.150602738974711,"random_1-50",26,"random_1",50
"random_2-50...884","Dataset_1","3_0.6",0.139834515408223,"random_2-50",35,"random_2",50
"random_3-50...885","Dataset_1","3_0.6",0.143821978417005,"random_3-50",24,"random_3",50
"sc3-55...886","Dataset_1","3_0.6",0.959263380682416,"sc3-55",40,"sc3",55
"X40-55...887","Dataset_1","3_0.6",0.892059428441609,"X40-55",31,"X40",55
"X40.1-55...888","Dataset_1","3_0.6",0.844155755983966,"X40.1-55",26,"X40.1",55
"random_1-55...889","Dataset_1","3_0.6",0.151319773138427,"random_1-55",25,"random_1",55
"random_2-55...890","Dataset_1","3_0.6",0.142136080522902,"random_2-55",34,"random_2",55
"random_3-55...891","Dataset_1","3_0.6",0.143821978417005,"random_3-55",24,"random_3",55
"sc3-60...892","Dataset_1","3_0.6",0.959263380682416,"sc3-60",40,"sc3",60
"X40-60...893","Dataset_1","3_0.6",0.892059428441609,"X40-60",31,"X40",60
"X40.1-60...894","Dataset_1","3_0.6",0.844155755983966,"X40.1-60",26,"X40.1",60
"random_1-60...895","Dataset_1","3_0.6",0.153316613638772,"random_1-60",24,"random_1",60
"random_2-60...896","Dataset_1","3_0.6",0.148314573135032,"random_2-60",30,"random_2",60
"random_3-60...897","Dataset_1","3_0.6",0.143821978417005,"random_3-60",24,"random_3",60
"sc3-65...898","Dataset_1","3_0.6",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...899","Dataset_1","3_0.6",0.892059428441609,"X40-65",31,"X40",65
"X40.1-65...900","Dataset_1","3_0.6",0.862750965319063,"X40.1-65",24,"X40.1",65
"random_1-65...901","Dataset_1","3_0.6",0.154382627891394,"random_1-65",23,"random_1",65
"random_2-65...902","Dataset_1","3_0.6",0.148314573135032,"random_2-65",30,"random_2",65
"random_3-65...903","Dataset_1","3_0.6",0.14633465380823,"random_3-65",22,"random_3",65
"sc3-70...904","Dataset_1","3_0.6",0.959263380682416,"sc3-70",40,"sc3",70
"X40-70...905","Dataset_1","3_0.6",0.892059428441609,"X40-70",31,"X40",70
"X40.1-70...906","Dataset_1","3_0.6",0.8883873004756,"X40.1-70",21,"X40.1",70
"random_1-70...907","Dataset_1","3_0.6",0.154382627891394,"random_1-70",23,"random_1",70
"random_2-70...908","Dataset_1","3_0.6",0.148314573135032,"random_2-70",30,"random_2",70
"random_3-70...909","Dataset_1","3_0.6",0.149313114527409,"random_3-70",20,"random_3",70
"sc3-75...910","Dataset_1","3_0.6",0.959263380682416,"sc3-75",40,"sc3",75
"X40-75...911","Dataset_1","3_0.6",0.892059428441609,"X40-75",31,"X40",75
"X40.1-75...912","Dataset_1","3_0.6",0.8883873004756,"X40.1-75",21,"X40.1",75
"random_1-75...913","Dataset_1","3_0.6",0.157430589694565,"random_1-75",21,"random_1",75
"random_2-75...914","Dataset_1","3_0.6",0.15191480466289,"random_2-75",27,"random_2",75
"random_3-75...915","Dataset_1","3_0.6",0.151217947101752,"random_3-75",19,"random_3",75
"sc3-80...916","Dataset_1","3_0.6",0.959263380682416,"sc3-80",40,"sc3",80
"X40-80...917","Dataset_1","3_0.6",0.892059428441609,"X40-80",31,"X40",80
"X40.1-80...918","Dataset_1","3_0.6",0.909550688853555,"X40.1-80",18,"X40.1",80
"random_1-80...919","Dataset_1","3_0.6",0.157430589694565,"random_1-80",21,"random_1",80
"random_2-80...920","Dataset_1","3_0.6",0.153290082034096,"random_2-80",25,"random_2",80
"random_3-80...921","Dataset_1","3_0.6",0.151217947101752,"random_3-80",19,"random_3",80
"sc3-85...922","Dataset_1","3_0.6",0.959263380682416,"sc3-85",40,"sc3",85
"X40-85...923","Dataset_1","3_0.6",0.912452850945338,"X40-85",28,"X40",85
"X40.1-85...924","Dataset_1","3_0.6",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...925","Dataset_1","3_0.6",0.157430589694565,"random_1-85",21,"random_1",85
"random_2-85...926","Dataset_1","3_0.6",0.156404351811288,"random_2-85",23,"random_2",85
"random_3-85...927","Dataset_1","3_0.6",0.151217947101752,"random_3-85",19,"random_3",85
"sc3-90...928","Dataset_1","3_0.6",0.959263380682416,"sc3-90",40,"sc3",90
"X40-90...929","Dataset_1","3_0.6",0.933600111203201,"X40-90",24,"X40",90
"X40.1-90...930","Dataset_1","3_0.6",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...931","Dataset_1","3_0.6",0.157430589694565,"random_1-90",21,"random_1",90
"random_2-90...932","Dataset_1","3_0.6",0.157430589694565,"random_2-90",21,"random_2",90
"random_3-90...933","Dataset_1","3_0.6",0.151217947101752,"random_3-90",19,"random_3",90
"sc3-95...934","Dataset_1","3_0.6",0.968467174292351,"sc3-95",37,"sc3",95
"X40-95...935","Dataset_1","3_0.6",0.950761112521031,"X40-95",19,"X40",95
"X40.1-95...936","Dataset_1","3_0.6",0.909550688853555,"X40.1-95",18,"X40.1",95
"random_1-95...937","Dataset_1","3_0.6",0.157430589694565,"random_1-95",21,"random_1",95
"random_2-95...938","Dataset_1","3_0.6",0.157430589694565,"random_2-95",21,"random_2",95
"random_3-95...939","Dataset_1","3_0.6",0.151217947101752,"random_3-95",19,"random_3",95
"sc3-100...940","Dataset_1","3_0.6",0.98732750304366,"sc3-100",21,"sc3",100
"X40-100...941","Dataset_1","3_0.6",0.950761112521031,"X40-100",19,"X40",100
"X40.1-100...942","Dataset_1","3_0.6",0.909550688853555,"X40.1-100",18,"X40.1",100
"random_1-100...943","Dataset_1","3_0.6",0.158818913677299,"random_1-100",20,"random_1",100
"random_2-100...944","Dataset_1","3_0.6",0.158818913677299,"random_2-100",20,"random_2",100
"random_3-100...945","Dataset_1","3_0.6",0.151217947101752,"random_3-100",19,"random_3",100
"sc3-00...946","Dataset_1","1_0.8",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...947","Dataset_1","1_0.8",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...948","Dataset_1","1_0.8",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...949","Dataset_1","1_0.8",0.0261733121672184,"random_1-00",45,"random_1",0
"sc3-05...950","Dataset_1","1_0.8",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...951","Dataset_1","1_0.8",0.786889003234594,"X40-05",39,"X40",5
"X40.1-05...952","Dataset_1","1_0.8",0.701503815888235,"X40.1-05",39,"X40.1",5
"random_1-05...953","Dataset_1","1_0.8",0.0261733121672184,"random_1-05",45,"random_1",5
"sc3-10...954","Dataset_1","1_0.8",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...955","Dataset_1","1_0.8",0.802843136789656,"X40-10",38,"X40",10
"X40.1-10...956","Dataset_1","1_0.8",0.716940487771988,"X40.1-10",38,"X40.1",10
"random_1-10...957","Dataset_1","1_0.8",0.0261733121672184,"random_1-10",45,"random_1",10
"sc3-15...958","Dataset_1","1_0.8",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...959","Dataset_1","1_0.8",0.818908664579923,"X40-15",37,"X40",15
"X40.1-15...960","Dataset_1","1_0.8",0.732753787321787,"X40.1-15",37,"X40.1",15
"random_1-15...961","Dataset_1","1_0.8",0.0261733121672184,"random_1-15",45,"random_1",15
"sc3-20...962","Dataset_1","1_0.8",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...963","Dataset_1","1_0.8",0.833083709263521,"X40-20",36,"X40",20
"X40.1-20...964","Dataset_1","1_0.8",0.754018401642373,"X40.1-20",35,"X40.1",20
"random_1-20...965","Dataset_1","1_0.8",0.0261733121672184,"random_1-20",45,"random_1",20
"sc3-25...966","Dataset_1","1_0.8",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...967","Dataset_1","1_0.8",0.850746371413074,"X40-25",35,"X40",25
"X40.1-25...968","Dataset_1","1_0.8",0.762964026332925,"X40.1-25",34,"X40.1",25
"random_1-25...969","Dataset_1","1_0.8",0.0261733121672184,"random_1-25",45,"random_1",25
"sc3-30...970","Dataset_1","1_0.8",0.959263380682416,"sc3-30",40,"sc3",30
"X40-30...971","Dataset_1","1_0.8",0.850746371413074,"X40-30",35,"X40",30
"X40.1-30...972","Dataset_1","1_0.8",0.785379620475019,"X40.1-30",32,"X40.1",30
"random_1-30...973","Dataset_1","1_0.8",0.0261733121672184,"random_1-30",45,"random_1",30
"sc3-35...974","Dataset_1","1_0.8",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...975","Dataset_1","1_0.8",0.855892349074323,"X40-35",34,"X40",35
"X40.1-35...976","Dataset_1","1_0.8",0.798148021630942,"X40.1-35",31,"X40.1",35
"random_1-35...977","Dataset_1","1_0.8",0.0261733121672184,"random_1-35",45,"random_1",35
"sc3-40...978","Dataset_1","1_0.8",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...979","Dataset_1","1_0.8",0.872532820054756,"X40-40",32,"X40",40
"X40.1-40...980","Dataset_1","1_0.8",0.806328227786894,"X40.1-40",30,"X40.1",40
"random_1-40...981","Dataset_1","1_0.8",0.0261733121672184,"random_1-40",45,"random_1",40
"sc3-45...982","Dataset_1","1_0.8",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...983","Dataset_1","1_0.8",0.872532820054756,"X40-45",32,"X40",45
"X40.1-45...984","Dataset_1","1_0.8",0.824241867356411,"X40.1-45",28,"X40.1",45
