"","nCells","Value","Name","n_clus","clustering","level"
"73","200",0.473667645842015,"sc3-15",40,"sc3",15
"74","200",0.748615933911957,"UMAP_KMEANS-15",37,"UMAP_KMEANS",15
"75","200",0.702631926218576,"tSNE_KMEANS-15",39,"tSNE_KMEANS",15
"76","200",0.502674347932511,"sc3-20",39,"sc3",20
"77","200",0.748615933911957,"UMAP_KMEANS-20",37,"UMAP_KMEANS",20
"78","200",0.702631926218576,"tSNE_KMEANS-20",39,"tSNE_KMEANS",20
"79","200",0.516787101889443,"sc3-25",38,"sc3",25
"80","200",0.748615933911957,"UMAP_KMEANS-25",37,"UMAP_KMEANS",25
"81","200",0.727415653429345,"tSNE_KMEANS-25",38,"tSNE_KMEANS",25
"82","200",0.540884143692841,"sc3-30",37,"sc3",30
"83","200",0.748615933911957,"UMAP_KMEANS-30",37,"UMAP_KMEANS",30
"84","200",0.727415653429345,"tSNE_KMEANS-30",38,"tSNE_KMEANS",30
"85","200",0.584780124344945,"sc3-35",36,"sc3",35
"86","200",0.748615933911957,"UMAP_KMEANS-35",37,"UMAP_KMEANS",35
"87","200",0.727415653429345,"tSNE_KMEANS-35",38,"tSNE_KMEANS",35
"88","200",0.610961690099185,"sc3-40",35,"sc3",40
"89","200",0.759338037359367,"UMAP_KMEANS-40",36,"UMAP_KMEANS",40
"90","200",0.727415653429345,"tSNE_KMEANS-40",38,"tSNE_KMEANS",40
"91","200",0.610961690099185,"sc3-45",35,"sc3",45
"92","200",0.777828216023313,"UMAP_KMEANS-45",35,"UMAP_KMEANS",45
"93","200",0.727415653429345,"tSNE_KMEANS-45",38,"tSNE_KMEANS",45
"94","200",0.638223549176295,"sc3-50",34,"sc3",50
"95","200",0.777828216023313,"UMAP_KMEANS-50",35,"UMAP_KMEANS",50
"96","200",0.739426372022882,"tSNE_KMEANS-50",37,"tSNE_KMEANS",50
"97","200",0.638223549176295,"sc3-55",34,"sc3",55
"98","200",0.777828216023313,"UMAP_KMEANS-55",35,"UMAP_KMEANS",55
"99","200",0.747300158894265,"tSNE_KMEANS-55",36,"tSNE_KMEANS",55
"100","200",0.638223549176295,"sc3-60",34,"sc3",60
"101","200",0.777828216023313,"UMAP_KMEANS-60",35,"UMAP_KMEANS",60
"102","200",0.785919893648903,"tSNE_KMEANS-60",34,"tSNE_KMEANS",60
"103","200",0.638223549176295,"sc3-65",34,"sc3",65
"104","200",0.801751289188527,"UMAP_KMEANS-65",34,"UMAP_KMEANS",65
"105","200",0.785919893648903,"tSNE_KMEANS-65",34,"tSNE_KMEANS",65
"106","200",0.655840894800427,"sc3-70",33,"sc3",70
"107","200",0.808671035426647,"UMAP_KMEANS-70",33,"UMAP_KMEANS",70
"108","200",0.785919893648903,"tSNE_KMEANS-70",34,"tSNE_KMEANS",70
"109","200",0.655840894800427,"sc3-75",33,"sc3",75
"110","200",0.808671035426647,"UMAP_KMEANS-75",33,"UMAP_KMEANS",75
"111","200",0.823053596976558,"tSNE_KMEANS-75",32,"tSNE_KMEANS",75
"112","200",0.684262118117989,"sc3-80",32,"sc3",80
"113","200",0.808671035426647,"UMAP_KMEANS-80",33,"UMAP_KMEANS",80
"114","200",0.823053596976558,"tSNE_KMEANS-80",32,"tSNE_KMEANS",80
"115","200",0.68961928100881,"sc3-85",31,"sc3",85
"116","200",0.818910741741602,"UMAP_KMEANS-85",32,"UMAP_KMEANS",85
"117","200",0.823053596976558,"tSNE_KMEANS-85",32,"tSNE_KMEANS",85
"118","200",0.68961928100881,"sc3-90",31,"sc3",90
"119","200",0.841565057471002,"UMAP_KMEANS-90",30,"UMAP_KMEANS",90
"120","200",0.836515680739487,"tSNE_KMEANS-90",31,"tSNE_KMEANS",90
"121","200",0.692066878457345,"sc3-95",30,"sc3",95
"122","200",0.841565057471002,"UMAP_KMEANS-95",30,"UMAP_KMEANS",95
"123","200",0.837348538886759,"tSNE_KMEANS-95",30,"tSNE_KMEANS",95
"124","200",0.702823916006672,"sc3-100",27,"sc3",100
"125","200",0.841982891978356,"UMAP_KMEANS-100",29,"UMAP_KMEANS",100
"126","200",0.841752473329535,"tSNE_KMEANS-100",28,"tSNE_KMEANS",100
"127","500",0.949335540553696,"sc3-00",40,"sc3",0
"128","500",0.882552687237565,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"129","500",0.872938980414023,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"130","500",0.93288318859682,"sc3-05",39,"sc3",5
"131","500",0.882552687237565,"UMAP_KMEANS-05",40,"UMAP_KMEANS",5
"132","500",0.872938980414023,"tSNE_KMEANS-05",40,"tSNE_KMEANS",5
"133","500",0.93288318859682,"sc3-10",39,"sc3",10
"134","500",0.882552687237565,"UMAP_KMEANS-10",40,"UMAP_KMEANS",10
"135","500",0.893357458851562,"tSNE_KMEANS-10",38,"tSNE_KMEANS",10
"136","500",0.93288318859682,"sc3-15",39,"sc3",15
"137","500",0.882552687237565,"UMAP_KMEANS-15",40,"UMAP_KMEANS",15
"138","500",0.903589590297914,"tSNE_KMEANS-15",37,"tSNE_KMEANS",15
"139","500",0.93288318859682,"sc3-20",39,"sc3",20
"140","500",0.890607411479112,"UMAP_KMEANS-20",39,"UMAP_KMEANS",20
"141","500",0.903589590297914,"tSNE_KMEANS-20",37,"tSNE_KMEANS",20
"142","500",0.942259699502304,"sc3-25",38,"sc3",25
"143","500",0.898271678417399,"UMAP_KMEANS-25",38,"UMAP_KMEANS",25
"144","500",0.903589590297914,"tSNE_KMEANS-25",37,"tSNE_KMEANS",25
"145","500",0.942259699502304,"sc3-30",38,"sc3",30
"146","500",0.898271678417399,"UMAP_KMEANS-30",38,"UMAP_KMEANS",30
