"","param","Value","Name","n_clus","clustering","level"
"77","35",0.814489544613635,"UMAP_KMEANS-20",31,"UMAP_KMEANS",20
"78","35",0.753605733475748,"tSNE_KMEANS-20",35,"tSNE_KMEANS",20
"79","35",0.998061322591547,"sc3-25",35,"sc3",25
"80","35",0.814489544613635,"UMAP_KMEANS-25",31,"UMAP_KMEANS",25
"81","35",0.763692149026568,"tSNE_KMEANS-25",34,"tSNE_KMEANS",25
"82","35",0.998061322591547,"sc3-30",35,"sc3",30
"83","35",0.823671335926855,"UMAP_KMEANS-30",30,"UMAP_KMEANS",30
"84","35",0.763692149026568,"tSNE_KMEANS-30",34,"tSNE_KMEANS",30
"85","35",0.998061322591547,"sc3-35",35,"sc3",35
"86","35",0.823671335926855,"UMAP_KMEANS-35",30,"UMAP_KMEANS",35
"87","35",0.772950469307849,"tSNE_KMEANS-35",33,"tSNE_KMEANS",35
"88","35",0.998061322591547,"sc3-40",35,"sc3",40
"89","35",0.831904422199652,"UMAP_KMEANS-40",29,"UMAP_KMEANS",40
"90","35",0.772950469307849,"tSNE_KMEANS-40",33,"tSNE_KMEANS",40
"91","35",0.998061322591547,"sc3-45",35,"sc3",45
"92","35",0.831904422199652,"UMAP_KMEANS-45",29,"UMAP_KMEANS",45
"93","35",0.78366998082043,"tSNE_KMEANS-45",32,"tSNE_KMEANS",45
"94","35",0.998061322591547,"sc3-50",35,"sc3",50
"95","35",0.831904422199652,"UMAP_KMEANS-50",29,"UMAP_KMEANS",50
"96","35",0.790525076635369,"tSNE_KMEANS-50",31,"tSNE_KMEANS",50
"97","35",0.998061322591547,"sc3-55",35,"sc3",55
"98","35",0.838773597352745,"UMAP_KMEANS-55",28,"UMAP_KMEANS",55
"99","35",0.790525076635369,"tSNE_KMEANS-55",31,"tSNE_KMEANS",55
"100","35",0.998061322591547,"sc3-60",35,"sc3",60
"101","35",0.845011496012877,"UMAP_KMEANS-60",27,"UMAP_KMEANS",60
"102","35",0.790525076635369,"tSNE_KMEANS-60",31,"tSNE_KMEANS",60
"103","35",0.998061322591547,"sc3-65",35,"sc3",65
"104","35",0.851673939123999,"UMAP_KMEANS-65",26,"UMAP_KMEANS",65
"105","35",0.790525076635369,"tSNE_KMEANS-65",31,"tSNE_KMEANS",65
"106","35",0.998061322591547,"sc3-70",35,"sc3",70
"107","35",0.851673939123999,"UMAP_KMEANS-70",26,"UMAP_KMEANS",70
"108","35",0.800274999473204,"tSNE_KMEANS-70",29,"tSNE_KMEANS",70
"109","35",0.998061322591547,"sc3-75",35,"sc3",75
"110","35",0.860753102359312,"UMAP_KMEANS-75",25,"UMAP_KMEANS",75
"111","35",0.800274999473204,"tSNE_KMEANS-75",29,"tSNE_KMEANS",75
"112","35",0.998061322591547,"sc3-80",35,"sc3",80
"113","35",0.860753102359312,"UMAP_KMEANS-80",25,"UMAP_KMEANS",80
"114","35",0.804561237012211,"tSNE_KMEANS-80",28,"tSNE_KMEANS",80
"115","35",0.998061322591547,"sc3-85",35,"sc3",85
"116","35",0.860753102359312,"UMAP_KMEANS-85",25,"UMAP_KMEANS",85
"117","35",0.812613791623795,"tSNE_KMEANS-85",27,"tSNE_KMEANS",85
"118","35",0.998061322591547,"sc3-90",35,"sc3",90
"119","35",0.860753102359312,"UMAP_KMEANS-90",25,"UMAP_KMEANS",90
"120","35",0.821302235348351,"tSNE_KMEANS-90",25,"tSNE_KMEANS",90
"121","35",0.998061322591547,"sc3-95",35,"sc3",95
"122","35",0.860753102359312,"UMAP_KMEANS-95",25,"UMAP_KMEANS",95
"123","35",0.82843520304674,"tSNE_KMEANS-95",24,"tSNE_KMEANS",95
"124","35",0.999378425615522,"sc3-100",31,"sc3",100
"125","35",0.860753102359312,"UMAP_KMEANS-100",25,"UMAP_KMEANS",100
"126","35",0.82843520304674,"tSNE_KMEANS-100",24,"tSNE_KMEANS",100
"127","40",0.99382217035811,"sc3-00",40,"sc3",0
"128","40",0.672373434893105,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"129","40",0.844032371265819,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"130","40",0.99382217035811,"sc3-05",40,"sc3",5
"131","40",0.684113640612953,"UMAP_KMEANS-05",39,"UMAP_KMEANS",5
"132","40",0.854534379666575,"tSNE_KMEANS-05",39,"tSNE_KMEANS",5
"133","40",0.99382217035811,"sc3-10",40,"sc3",10
"134","40",0.694250178698748,"UMAP_KMEANS-10",38,"UMAP_KMEANS",10
"135","40",0.854534379666575,"tSNE_KMEANS-10",39,"tSNE_KMEANS",10
"136","40",0.99382217035811,"sc3-15",40,"sc3",15
"137","40",0.694250178698748,"UMAP_KMEANS-15",38,"UMAP_KMEANS",15
"138","40",0.86654308946937,"tSNE_KMEANS-15",38,"tSNE_KMEANS",15
"139","40",0.99382217035811,"sc3-20",40,"sc3",20
"140","40",0.694250178698748,"UMAP_KMEANS-20",38,"UMAP_KMEANS",20
"141","40",0.875567489928444,"tSNE_KMEANS-20",37,"tSNE_KMEANS",20
"142","40",0.99382217035811,"sc3-25",40,"sc3",25
"143","40",0.713616655659429,"UMAP_KMEANS-25",36,"UMAP_KMEANS",25
"144","40",0.875567489928444,"tSNE_KMEANS-25",37,"tSNE_KMEANS",25
"145","40",0.99382217035811,"sc3-30",40,"sc3",30
"146","40",0.721770752971192,"UMAP_KMEANS-30",35,"UMAP_KMEANS",30
"147","40",0.875567489928444,"tSNE_KMEANS-30",37,"tSNE_KMEANS",30
"148","40",0.99382217035811,"sc3-35",40,"sc3",35
"149","40",0.721770752971192,"UMAP_KMEANS-35",35,"UMAP_KMEANS",35
"150","40",0.883592929243326,"tSNE_KMEANS-35",36,"tSNE_KMEANS",35
"151","40",0.99382217035811,"sc3-40",40,"sc3",40
"152","40",0.735907705239248,"UMAP_KMEANS-40",33,"UMAP_KMEANS",40
"153","40",0.883592929243326,"tSNE_KMEANS-40",36,"tSNE_KMEANS",40
"154","40",0.99382217035811,"sc3-45",40,"sc3",45
"155","40",0.743310508725731,"UMAP_KMEANS-45",32,"UMAP_KMEANS",45
"156","40",0.883592929243326,"tSNE_KMEANS-45",36,"tSNE_KMEANS",45
"157","40",0.99382217035811,"sc3-50",40,"sc3",50
"158","40",0.743310508725731,"UMAP_KMEANS-50",32,"UMAP_KMEANS",50
"159","40",0.897518583146771,"tSNE_KMEANS-50",34,"tSNE_KMEANS",50
"160","40",0.99382217035811,"sc3-55",40,"sc3",55
"161","40",0.748518921269023,"UMAP_KMEANS-55",31,"UMAP_KMEANS",55
"162","40",0.897518583146771,"tSNE_KMEANS-55",34,"tSNE_KMEANS",55
