cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1012,19,32,18,19,32,18,19,32,18,19,32,18,19,32,18,19,32,18,19,32,18,19,32,18,19,32,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14
Cell1013,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,25,34,10,25,3,10,25,3,10,25,3,10
Cell1014,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31
Cell1015,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30
Cell1016,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,25,34,10,25,3,10,25,3,10,25,3,10
Cell1017,28,11,13,28,11,13,28,11,13,28,11,13,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8
Cell1018,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20
Cell1019,5,38,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31
Cell102,39,29,26,39,29,26,39,29,26,39,29,26,39,29,26,39,29,26,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16,39,7,16
Cell1020,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,26,27,7
Cell1021,3,25,40,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2
Cell1022,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,25,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3,13,39,3
Cell1023,5,38,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31
