cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1024,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell1025,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6
Cell1026,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33
Cell1027,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,25,34,10,25,3,10,25,3,10,25,3,10
Cell1028,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell1029,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,30,3,38,25,3,38,25,3,38,25,3,38,25,3,38
Cell103,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8
Cell1030,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19
Cell1031,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21
Cell1032,7,11,27,7,11,27,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1033,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11
Cell1034,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4,18,40,4
Cell1035,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12,10,9,12
Cell1036,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9
Cell1037,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8
Cell1038,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28,11,26,28
Cell1039,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20
Cell104,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39
Cell1040,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell1041,7,11,27,7,11,27,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1042,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19,8,8,19
Cell1043,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33
Cell1044,5,38,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31,5,37,31
Cell1045,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell1046,28,11,13,28,11,13,28,11,13,28,11,13,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8,28,11,8
Cell1047,40,30,38,40,30,38,40,30,38,40,30,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38
Cell1048,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,30,34,10,25,34,10,25,3,10,25,3,10,25,3,10
Cell1049,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,15,1,1
