"20","25","30","35","40","45","50","cells"
20,3,8,6,20,43,32,"Cell1"
2,20,9,17,35,7,3,"Cell2"
6,12,30,18,36,16,17,"Cell3"
13,23,17,32,18,29,4,"Cell4"
6,12,30,18,36,16,17,"Cell5"
12,8,18,21,23,20,48,"Cell6"
16,16,15,1,31,42,6,"Cell7"
14,25,6,7,5,9,14,"Cell8"
5,11,10,34,24,28,15,"Cell9"
19,15,28,12,10,25,40,"Cell10"
11,2,3,30,25,12,37,"Cell11"
16,16,15,1,32,40,44,"Cell12"
5,11,1,11,16,1,15,"Cell13"
15,9,23,15,37,14,42,"Cell14"
18,17,25,27,2,24,31,"Cell15"
4,5,4,16,29,20,24,"Cell16"
19,10,24,11,34,10,16,"Cell17"
10,5,14,13,3,36,7,"Cell18"
16,24,26,20,26,30,21,"Cell19"
1,12,22,5,14,16,23,"Cell20"
6,12,22,18,36,19,17,"Cell21"
4,5,4,16,29,20,24,"Cell22"
19,15,5,12,6,3,39,"Cell23"
5,17,22,5,16,1,3,"Cell24"
20,3,20,23,20,43,28,"Cell25"
6,12,22,18,36,16,17,"Cell26"
10,13,12,13,3,15,26,"Cell27"
11,2,29,35,25,2,38,"Cell28"
13,1,7,22,11,18,35,"Cell29"
15,14,19,28,12,17,18,"Cell30"
9,14,16,19,12,17,18,"Cell31"
20,22,8,26,27,35,22,"Cell32"
14,25,6,7,4,9,50,"Cell33"
5,17,25,33,30,32,3,"Cell34"
10,5,14,8,7,36,7,"Cell35"
3,3,20,23,20,43,28,"Cell36"
17,22,14,29,17,39,29,"Cell37"
6,12,22,18,36,16,17,"Cell38"
18,17,25,27,2,24,3,"Cell39"
1,16,13,24,31,42,6,"Cell40"
13,4,7,9,11,18,35,"Cell41"
12,24,26,3,26,4,21,"Cell42"
20,22,27,26,27,34,22,"Cell43"
14,21,21,10,4,18,49,"Cell44"
7,15,20,31,22,33,28,"Cell45"
2,20,9,17,35,7,8,"Cell46"
16,25,2,21,33,5,33,"Cell47"
1,12,22,5,14,5,23,"Cell49"
12,25,6,21,5,9,14,"Cell50"
8,2,3,30,25,12,46,"Cell51"
5,11,1,11,16,28,15,"Cell52"
20,3,8,6,20,43,32,"Cell53"
9,14,16,25,12,17,18,"Cell54"
6,25,2,22,33,5,33,"Cell55"
16,24,26,21,33,5,33,"Cell56"
12,8,18,3,26,4,21,"Cell57"
2,20,9,17,10,22,8,"Cell58"
5,11,25,27,30,28,15,"Cell59"
6,12,30,18,36,16,17,"Cell60"
14,21,21,10,4,38,12,"Cell61"
12,15,6,21,10,25,8,"Cell62"
8,19,3,2,9,8,37,"Cell63"
14,21,21,10,4,8,49,"Cell64"
12,25,6,21,5,9,14,"Cell65"
6,12,30,18,36,16,17,"Cell66"
18,12,25,18,2,19,3,"Cell67"
2,12,22,5,36,19,3,"Cell68"
15,9,13,15,39,13,42,"Cell69"
10,22,14,29,17,39,29,"Cell70"
7,3,20,6,20,43,28,"Cell71"
20,3,27,26,20,34,22,"Cell72"
19,10,28,12,38,10,16,"Cell73"
10,5,14,8,3,36,7,"Cell74"
6,14,30,10,12,8,49,"Cell75"
16,23,4,32,15,26,5,"Cell76"
7,11,1,31,22,33,10,"Cell77"
16,16,15,1,32,40,44,"Cell78"
20,3,8,26,20,35,22,"Cell79"
6,12,30,18,36,8,17,"Cell80"
20,8,8,8,7,11,32,"Cell81"
9,14,7,9,11,18,43,"Cell82"
10,13,12,13,3,36,26,"Cell83"
10,22,14,8,27,35,7,"Cell84"
11,2,10,2,2,41,37,"Cell85"
13,4,7,9,18,6,4,"Cell86"
9,14,7,9,19,6,43,"Cell87"
10,22,14,8,27,35,7,"Cell88"
8,19,3,25,28,8,18,"Cell89"
19,10,15,1,32,40,44,"Cell90"
13,4,23,24,37,14,6,"Cell91"
6,12,22,5,14,16,23,"Cell92"
4,23,4,32,18,29,4,"Cell93"
14,25,6,7,5,9,50,"Cell94"
