"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell19",36,41,37,37,42,38,38,42,40,38,43,41,38,43,42,39,44,43,39,44,43,39,44,44,39,45,43,39,45,43,39,45,43,38,45,44,39,45,44,40,45,44,40,45,44,41,45,44,41,45,43,41,45,43,41,45,43,41,45,43,41,45,43,41,46,43,41,46,44,"Cell19"
"Cell20",34,37,34,35,38,35,36,38,37,36,38,37,36,38,38,37,38,39,37,38,40,37,38,40,37,39,40,37,39,40,37,39,40,37,39,40,38,39,40,38,39,40,38,39,40,39,39,40,39,39,40,39,39,40,39,39,40,39,39,40,39,39,40,39,39,40,39,39,40,"Cell20"
"Cell21",29,31,29,30,32,30,31,32,31,31,32,30,31,32,31,31,32,32,31,32,33,31,32,33,31,33,33,31,33,33,31,33,33,31,33,33,31,33,33,32,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,"Cell21"
"Cell22",25,28,28,26,29,28,27,29,28,27,29,28,27,29,30,27,29,30,27,29,31,27,29,31,27,30,31,27,30,31,27,30,31,28,30,31,28,30,31,27,30,31,27,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,"Cell22"
"Cell24",32,34,32,32,35,33,34,35,34,34,35,35,34,35,36,34,35,34,35,35,36,35,35,35,35,36,36,35,36,36,35,36,36,35,36,37,36,36,37,36,36,36,36,36,36,37,36,36,37,36,36,37,36,36,37,36,36,37,36,36,37,36,36,37,36,36,37,36,36,"Cell24"
"Cell25",13,13,14,14,13,15,14,13,15,14,13,14,14,13,13,14,13,12,14,13,13,14,13,13,14,13,13,14,13,14,14,13,14,15,13,14,15,13,14,14,13,13,14,13,13,13,13,13,13,13,13,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,13,13,14,"Cell25"
"Cell26",1,1,1,1,1,1,1,1,1,1,40,1,1,40,1,1,40,1,1,40,1,1,40,1,1,41,1,1,41,1,1,41,1,1,41,1,1,41,1,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,"Cell26"
"Cell27",1,1,1,1,1,1,1,1,1,1,40,1,1,40,1,1,40,1,1,40,1,1,40,1,1,41,1,1,41,1,1,41,1,1,41,1,1,41,1,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,1,41,45,"Cell27"
"Cell28",25,28,28,26,29,28,27,29,28,27,29,28,27,29,30,27,29,30,27,29,31,27,29,31,27,30,31,27,30,31,27,30,31,28,30,31,28,30,31,27,30,31,27,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,"Cell28"
"Cell29",1,1,1,25,1,1,26,1,1,26,1,1,26,1,1,26,1,1,25,1,22,26,1,24,26,22,22,26,22,22,26,22,22,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,20,23,26,20,23,"Cell29"
