"dataset" "nb_garb" "ARI" "x"
"1" "segerstolpe" "0" 0.508223379249852 0.0555555555555556
"2" "segerstolpe" "0" 0.521129219624677 0.111111111111111
"3" "segerstolpe" "0" 0.533234405957086 0.166666666666667
"4" "segerstolpe" "0" 0.550927681109509 0.222222222222222
"5" "segerstolpe" "0" 0.563858084750554 0.277777777777778
"6" "segerstolpe" "0" 0.634994765696896 0.333333333333333
"7" "segerstolpe" "0" 0.65297885361002 0.388888888888889
"8" "segerstolpe" "0" 0.660642787292437 0.444444444444444
"9" "segerstolpe" "0" 0.673032986471334 0.5
"10" "segerstolpe" "0" 0.678597518923899 0.555555555555556
"11" "segerstolpe" "0" 0.683002633648411 0.611111111111111
"12" "segerstolpe" "0" 0.689908206636118 0.666666666666667
"13" "segerstolpe" "0" 0.690984469528959 0.722222222222222
"14" "segerstolpe" "0" 0.692515747357423 0.777777777777778
"15" "segerstolpe" "0" 0.713633265719704 0.833333333333333
"16" "segerstolpe" "0" 0.714705258576844 0.888888888888889
"17" "segerstolpe" "0" 0.715050897065706 0.944444444444444
"18" "segerstolpe" "0" 0.715219143830357 1
"19" "segerstolpe" "1" 0.383523526335402 0.0357142857142857
"20" "segerstolpe" "1" 0.402583697937575 0.0714285714285714
"21" "segerstolpe" "1" 0.423347508821425 0.107142857142857
"22" "segerstolpe" "1" 0.537547818229424 0.142857142857143
"23" "segerstolpe" "1" 0.537547818229424 0.178571428571429
"24" "segerstolpe" "1" 0.582954540135467 0.214285714285714
"25" "segerstolpe" "1" 0.610079426237865 0.25
"26" "segerstolpe" "1" 0.610079426237865 0.285714285714286
"27" "segerstolpe" "1" 0.610008438010765 0.321428571428571
"28" "segerstolpe" "1" 0.623880929560011 0.357142857142857
"29" "segerstolpe" "1" 0.632815173325522 0.392857142857143
"30" "segerstolpe" "1" 0.632815173325522 0.428571428571429
"31" "segerstolpe" "1" 0.632815173325522 0.464285714285714
"32" "segerstolpe" "1" 0.632815173325522 0.5
"33" "segerstolpe" "1" 0.632815173325522 0.535714285714286
"34" "segerstolpe" "1" 0.632815173325522 0.571428571428571
"35" "segerstolpe" "1" 0.632815173325522 0.607142857142857
"36" "segerstolpe" "1" 0.632815173325522 0.642857142857143
"37" "segerstolpe" "1" 0.632815173325522 0.678571428571429
"38" "segerstolpe" "1" 0.633459311934015 0.714285714285714
"39" "segerstolpe" "1" 0.633459311934015 0.75
"40" "segerstolpe" "1" 0.633459311934015 0.785714285714286
"41" "segerstolpe" "1" 0.633459311934015 0.821428571428571
"42" "segerstolpe" "1" 0.634032551102032 0.857142857142857
"43" "segerstolpe" "1" 0.634032551102032 0.892857142857143
"44" "segerstolpe" "1" 0.633359084700134 0.928571428571429
"45" "segerstolpe" "1" 0.633359084700134 0.964285714285714
"46" "segerstolpe" "1" 0.633359084700134 1
"47" "segerstolpe" "2" 0.383523526335402 0.0256410256410256
"48" "segerstolpe" "2" 0.402583697937575 0.0512820512820513
"49" "segerstolpe" "2" 0.423347508821425 0.0769230769230769
"50" "segerstolpe" "2" 0.537547818229424 0.102564102564103
"51" "segerstolpe" "2" 0.537547818229424 0.128205128205128
"52" "segerstolpe" "2" 0.582954540135467 0.153846153846154
"53" "segerstolpe" "2" 0.610079426237865 0.179487179487179
"54" "segerstolpe" "2" 0.610079426237865 0.205128205128205
"55" "segerstolpe" "2" 0.610008438010765 0.230769230769231
"56" "segerstolpe" "2" 0.623880929560011 0.256410256410256
"57" "segerstolpe" "2" 0.632815173325522 0.282051282051282
"58" "segerstolpe" "2" 0.632815173325522 0.307692307692308
"59" "segerstolpe" "2" 0.632815173325522 0.333333333333333
"60" "segerstolpe" "2" 0.632815173325522 0.358974358974359
"61" "segerstolpe" "2" 0.632815173325522 0.384615384615385
"62" "segerstolpe" "2" 0.632815173325522 0.41025641025641
"63" "segerstolpe" "2" 0.632815173325522 0.435897435897436
"64" "segerstolpe" "2" 0.632815173325522 0.461538461538462
"65" "segerstolpe" "2" 0.632815173325522 0.487179487179487
"66" "segerstolpe" "2" 0.632815173325522 0.512820512820513
"67" "segerstolpe" "2" 0.632815173325522 0.538461538461538
"68" "segerstolpe" "2" 0.632815173325522 0.564102564102564
"69" "segerstolpe" "2" 0.632815173325522 0.58974358974359
"70" "segerstolpe" "2" 0.632815173325522 0.615384615384615
"71" "segerstolpe" "2" 0.632815173325522 0.641025641025641
"72" "segerstolpe" "2" 0.632815173325522 0.666666666666667
"73" "segerstolpe" "2" 0.632815173325522 0.692307692307692
"74" "segerstolpe" "2" 0.632815173325522 0.717948717948718
"75" "segerstolpe" "2" 0.632815173325522 0.743589743589744
"76" "segerstolpe" "2" 0.632815173325522 0.769230769230769
"77" "segerstolpe" "2" 0.632815173325522 0.794871794871795
"78" "segerstolpe" "2" 0.632815173325522 0.82051282051282
"79" "segerstolpe" "2" 0.632815173325522 0.846153846153846
"80" "segerstolpe" "2" 0.632815173325522 0.871794871794872
"81" "segerstolpe" "2" 0.633459311934015 0.897435897435897
"82" "segerstolpe" "2" 0.634032551102032 0.923076923076923
"83" "segerstolpe" "2" 0.634032551102032 0.948717948717949
"84" "segerstolpe" "2" 0.634032551102032 0.974358974358974
"85" "segerstolpe" "2" 0.633359084700134 1
"86" "segerstolpe" "3" 0.383523526335402 0.0175438596491228
"87" "segerstolpe" "3" 0.402583697937575 0.0350877192982456
"88" "segerstolpe" "3" 0.423347508821425 0.0526315789473684
"89" "segerstolpe" "3" 0.537547818229424 0.0701754385964912
"90" "segerstolpe" "3" 0.537547818229424 0.087719298245614
