"dataset" "sc3" "Monocle" "Seurat" "steps"
"SMARTer_cells" 0.774044935762904 0.719233597247098 0.850919871417228 0
"SMARTer_cells" 0.774044935762904 0.719233597247098 0.850919871417228 0.05
"SMARTer_cells" 0.774044935762904 0.724494175773873 0.835020053382743 0.1
"SMARTer_cells" 0.774044935762904 0.677422906641571 0.835020053382743 0.15
"SMARTer_cells" 0.774044935762904 0.699339299563398 0.83769262138634 0.2
"SMARTer_cells" 0.774044935762904 0.696987857488322 0.814614406967596 0.25
"SMARTer_cells" 0.774044935762904 0.7003419350362 0.814614406967596 0.3
"SMARTer_cells" 0.774044935762904 0.697618901519333 0.814614406967596 0.35
"SMARTer_cells" 0.774044935762904 0.687952688753202 0.814614406967596 0.4
"SMARTer_cells" 0.793646360256024 0.706899714205874 0.814614406967596 0.45
"SMARTer_cells" 0.793646360256024 0.709344607128995 0.807369901246888 0.5
"SMARTer_cells" 0.793646360256024 0.739172259309352 0.790004022718706 0.55
"SMARTer_cells" 0.779497640976837 0.719241974617713 0.790004022718706 0.6
"SMARTer_cells" 0.783924810543202 0.740322087829639 0.791968627705305 0.65
"SMARTer_cells" 0.778025257922393 0.747066766124759 0.811062832242343 0.7
"SMARTer_cells" 0.767876585908152 0.767772713984136 0.804072190249115 0.75
"SMARTer_cells" 0.808616454663734 0.794164420700728 0.781830226325117 0.8
"SMARTer_cells" 0.808616454663734 0.785209483136653 0.774585342036111 0.85
"SMARTer_cells" 0.808616454663734 0.785209483136653 0.789500703340597 0.9
"SMARTer_cells" 0.814265029480719 0.786118808513629 0.801371185134961 0.95
"SMARTer_cells" 0.80418622457661 0.786856636879567 0.814153555424811 1
"SMARTer_nuclei" 0.869763098421472 0.697357121018858 0.835914007533707 0
"SMARTer_nuclei" 0.869763098421472 0.697357121018858 0.835914007533707 0.05
"SMARTer_nuclei" 0.869763098421472 0.699135215724609 0.835914007533707 0.1
"SMARTer_nuclei" 0.869763098421472 0.731326373207819 0.835914007533707 0.15
"SMARTer_nuclei" 0.869763098421472 0.690579552132367 0.835914007533707 0.2
"SMARTer_nuclei" 0.869763098421472 0.729886943471588 0.835914007533707 0.25
"SMARTer_nuclei" 0.791821422483479 0.729886943471588 0.835914007533707 0.3
"SMARTer_nuclei" 0.791821422483479 0.729886943471588 0.835914007533707 0.35
"SMARTer_nuclei" 0.791821422483479 0.719995991681743 0.835914007533707 0.4
"SMARTer_nuclei" 0.791821422483479 0.720017159135681 0.835914007533707 0.45
"SMARTer_nuclei" 0.791821422483479 0.731016880146443 0.835914007533707 0.5
"SMARTer_nuclei" 0.791821422483479 0.70860508078607 0.835914007533707 0.55
"SMARTer_nuclei" 0.775099327937313 0.731023693812469 0.835914007533707 0.6
"SMARTer_nuclei" 0.777847589228442 0.739080736923879 0.835914007533707 0.65
"SMARTer_nuclei" 0.778540852724006 0.768494485722735 0.835914007533707 0.7
"SMARTer_nuclei" 0.794470741531917 0.768935879417971 0.835914007533707 0.75
"SMARTer_nuclei" 0.803891437361519 0.772577936751092 0.836750690033581 0.8
"SMARTer_nuclei" 0.80986563303253 0.792579585002165 0.836750690033581 0.85
"SMARTer_nuclei" 0.847857382391313 0.804128631060657 0.827650807058605 0.9
"SMARTer_nuclei" 0.831673670900304 0.802647355235242 0.833419014134317 0.95
"SMARTer_nuclei" 0.827522174407013 0.795346581589962 0.836011820784669 1
