"Comp" "fraction" "clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"53" "1" 1 "Seurat.45" 6 29 2432 8273 0.171428571428571 0.22718355908454 "Seurat" 45
"54" "1" 1 "Seurat.50" 6 29 2432 8273 0.171428571428571 0.22718355908454 "Seurat" 50
"55" "1" 1 "Seurat.55" 6 29 2432 8273 0.171428571428571 0.22718355908454 "Seurat" 55
"56" "1" 1 "Seurat.60" 6 29 2432 8273 0.171428571428571 0.22718355908454 "Seurat" 60
"57" "1" 1 "Seurat.65" 6 28 2432 8273 0.176470588235294 0.22718355908454 "Seurat" 65
"58" "1" 1 "Seurat.70" 6 27 2432 8273 0.181818181818182 0.22718355908454 "Seurat" 70
"59" "1" 1 "Seurat.75" 6 27 2432 8273 0.181818181818182 0.22718355908454 "Seurat" 75
"60" "1" 1 "Seurat.80" 6 27 2432 8273 0.181818181818182 0.22718355908454 "Seurat" 80
"61" "1" 1 "Seurat.85" 6 27 2432 8273 0.181818181818182 0.22718355908454 "Seurat" 85
"62" "1" 1 "Seurat.90" 6 27 2432 8273 0.181818181818182 0.22718355908454 "Seurat" 90
"63" "1" 1 "Seurat.95" 8 24 3744 6961 0.25 0.349743110695936 "Seurat" 95
"64" "1" 5 "Monocle.00" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" 0
"65" "1" 5 "Monocle.05" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 5
"66" "1" 5 "Monocle.10" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 10
"67" "1" 5 "Monocle.100" 8 20 3054 7651 0.285714285714286 0.285287248949089 "Monocle" 100
"68" "1" 5 "Monocle.15" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 15
"69" "1" 5 "Monocle.20" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 20
"70" "1" 5 "Monocle.25" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 25
"71" "1" 5 "Monocle.30" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 30
"72" "1" 5 "Monocle.35" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 35
"73" "1" 5 "Monocle.40" 6 26 2372 8333 0.1875 0.221578701541336 "Monocle" 40
"74" "1" 5 "Monocle.45" 6 25 2372 8333 0.193548387096774 0.221578701541336 "Monocle" 45
"75" "1" 5 "Monocle.50" 6 25 2372 8333 0.193548387096774 0.221578701541336 "Monocle" 50
"76" "1" 5 "Monocle.55" 6 25 2372 8333 0.193548387096774 0.221578701541336 "Monocle" 55
"77" "1" 5 "Monocle.60" 8 22 2743 7962 0.266666666666667 0.256235404016815 "Monocle" 60
"78" "1" 5 "Monocle.65" 8 22 2743 7962 0.266666666666667 0.256235404016815 "Monocle" 65
"79" "1" 5 "Monocle.70" 8 22 2743 7962 0.266666666666667 0.256235404016815 "Monocle" 70
"80" "1" 5 "Monocle.75" 8 22 2743 7962 0.266666666666667 0.256235404016815 "Monocle" 75
"81" "1" 5 "Monocle.80" 8 21 2743 7962 0.275862068965517 0.256235404016815 "Monocle" 80
"82" "1" 5 "Monocle.85" 8 20 3054 7651 0.285714285714286 0.285287248949089 "Monocle" 85
"83" "1" 5 "Monocle.90" 8 20 3054 7651 0.285714285714286 0.285287248949089 "Monocle" 90
"84" "1" 5 "Monocle.95" 8 20 3054 7651 0.285714285714286 0.285287248949089 "Monocle" 95
"85" "1" 5 "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 0
"86" "1" 5 "sc3.05" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 5
"87" "1" 5 "sc3.10" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 10
"88" "1" 5 "sc3.100" 6 30 2554 8151 0.166666666666667 0.238580102755722 "sc3" 100
"89" "1" 5 "sc3.15" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 15
"90" "1" 5 "sc3.20" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 20
"91" "1" 5 "sc3.25" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 25
"92" "1" 5 "sc3.30" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" 30
"93" "1" 5 "sc3.35" 8 44 1520 9185 0.153846153846154 0.141989724427837 "sc3" 35
"94" "1" 5 "sc3.40" 8 44 1520 9185 0.153846153846154 0.141989724427837 "sc3" 40
"95" "1" 5 "sc3.45" 8 43 1520 9185 0.156862745098039 0.141989724427837 "sc3" 45
"96" "1" 5 "sc3.50" 8 43 1520 9185 0.156862745098039 0.141989724427837 "sc3" 50
"97" "1" 5 "sc3.55" 8 42 1520 9185 0.16 0.141989724427837 "sc3" 55
"98" "1" 5 "sc3.60" 8 42 1520 9185 0.16 0.141989724427837 "sc3" 60
"99" "1" 5 "sc3.65" 8 42 1520 9185 0.16 0.141989724427837 "sc3" 65
"100" "1" 5 "sc3.70" 8 41 1520 9185 0.163265306122449 0.141989724427837 "sc3" 70
"101" "1" 5 "sc3.75" 8 40 1520 9185 0.166666666666667 0.141989724427837 "sc3" 75
"102" "1" 5 "sc3.80" 6 39 1170 9535 0.133333333333333 0.10929472209248 "sc3" 80
"103" "1" 5 "sc3.85" 6 39 1170 9535 0.133333333333333 0.10929472209248 "sc3" 85
"104" "1" 5 "sc3.90" 6 39 1170 9535 0.133333333333333 0.10929472209248 "sc3" 90
"105" "1" 5 "sc3.95" 6 36 1922 8783 0.142857142857143 0.179542269967305 "sc3" 95
"106" "1" 5 "Seurat.00" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 0
"107" "1" 5 "Seurat.05" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 5
"108" "1" 5 "Seurat.10" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 10
"109" "1" 5 "Seurat.100" 8 24 3283 7422 0.25 0.306679121905652 "Seurat" 100
"110" "1" 5 "Seurat.15" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 15
"111" "1" 5 "Seurat.20" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" 20
"112" "1" 5 "Seurat.25" 6 30 2504 8201 0.166666666666667 0.233909388136385 "Seurat" 25
"113" "1" 5 "Seurat.30" 6 30 2504 8201 0.166666666666667 0.233909388136385 "Seurat" 30
"114" "1" 5 "Seurat.35" 6 30 2504 8201 0.166666666666667 0.233909388136385 "Seurat" 35
"115" "1" 5 "Seurat.40" 6 30 2504 8201 0.166666666666667 0.233909388136385 "Seurat" 40
"116" "1" 5 "Seurat.45" 6 30 2504 8201 0.166666666666667 0.233909388136385 "Seurat" 45
"117" "1" 5 "Seurat.50" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 50
"118" "1" 5 "Seurat.55" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 55
"119" "1" 5 "Seurat.60" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 60
"120" "1" 5 "Seurat.65" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 65
"121" "1" 5 "Seurat.70" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 70
"122" "1" 5 "Seurat.75" 6 29 2504 8201 0.171428571428571 0.233909388136385 "Seurat" 75
"123" "1" 5 "Seurat.80" 6 28 2504 8201 0.176470588235294 0.233909388136385 "Seurat" 80
"124" "1" 5 "Seurat.85" 6 27 2793 7912 0.181818181818182 0.260906118636151 "Seurat" 85
"125" "1" 5 "Seurat.90" 8 24 3283 7422 0.25 0.306679121905652 "Seurat" 90
"126" "1" 5 "Seurat.95" 8 24 3283 7422 0.25 0.306679121905652 "Seurat" 95
